Direction,Title,Filename,Size_GB,Quality_Score,Reason,Needs_Review,Will_Replace
Ali → Chris,It Ends with Us (2024),It Ends with Us (2024) {imdb-tt10655524} [Bluray-1080p][DTS-HD MA 5.1][x264]-GUACAMOLE.mkv,16.14,1300,"Ali's version is higher quality (score: 1300 vs 1250, diff: +50)",YES,It Ends with Us (2024) {imdb-tt10655524} [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-FLUX.mkv
Ali → Chris,You Are Not My Mother (2022),You Are Not My Mother (2022) {imdb-tt10406596} [Bluray-1080p][DTS-HD MA 5.1][x264]-FREEMAN.mkv,7.63,1300,"Ali's version is higher quality (score: 1300 vs 1200, diff: +100)",YES,You Are Not My Mother (2022) {imdb-tt10406596} [WEBDL-1080p][AC3 5.1][h264]-CMRG.mkv
Ali → Chris,American Psycho (2000),American Psycho (2000) {imdb-tt0144084} {edition-Uncut} [Bluray-1080p][DV HDR10][EAC3 Atmos 5.1][x265]-SQS.mkv,5.45,1730,"Ali's version is higher quality (score: 1730 vs 1450, diff: +280)",YES,American Psycho (2000) {imdb-tt0144084} [Bluray-1080p][EAC3 7.1][x264]-c0kE.mkv
Ali → Chris,"River Runs Through It, A (1992)",A River Runs Through It (1992) {imdb-tt0105265} [Bluray-1080p][DV HDR10Plus][EAC3 5.1][x265]-SM737.mkv,6.70,1730,"Ali's version is higher quality (score: 1730 vs 1500, diff: +230)",YES,A River Runs Through It (1992) {imdb-tt0105265} {edition-Remastered} [Remux-1080p][DTS-HD MA 5.1][x264]-FraMeSToR.mkv
Ali → Chris,Last Looks (2021),Last Looks (2022) {imdb-tt9244554} [Bluray-1080p][EAC3 5.1][x264]-NTb.mkv,13.57,1450,"Ali's version is higher quality (score: 1450 vs 1300, diff: +150)",YES,Last Looks (2022) {imdb-tt9244554} [Bluray-1080p][DTS-HD MA 5.1][x264]-WALDO.mkv
Ali → Chris,KPop Demon Hunters (2025),KPop Demon Hunters (2025) {imdb-tt14205554} [NF][WEBDL-1080p][DV HDR10][EAC3 Atmos 5.1][h265]-Kitsune.mkv,3.57,1530,"Ali's version is higher quality (score: 1530 vs 1250, diff: +280)",YES,KPop Demon Hunters (2025) {imdb-tt14205554} [WEBDL-1080p][EAC3 Atmos 5.1][x264]-EDITH.mkv
Ali → Chris,State of Play (2009),State of Play (2009) {imdb-tt0473705} [Bluray-1080p Proper][EAC3 5.1][x264]-REPACK-TuNA.mkv,15.21,1450,"Ali's version is higher quality (score: 1450 vs 1400, diff: +50)",YES,State of Play (2009) {imdb-tt0473705} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4
Ali → Chris,Another Simple Favor (2025),Another Simple Favor (2025) {imdb-tt20214908} [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-Kitsune.mkv,7.52,1250,"Ali's version is higher quality (score: 1250 vs 1000, diff: +250)",YES,Another Simple Favor (2025) {imdb-tt20214908} [WEBDL-720p][EAC3 Atmos 5.1][h264]-SKYFiRE.mkv
Ali → Chris,Renfield (2023),Renfield (2023) {imdb-tt11358390} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-SPHD.mkv,12.88,1730,"Ali's version is higher quality (score: 1730 vs 1250, diff: +480)",YES,Renfield (2023) {imdb-tt11358390} [MA][WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv
Ali → Chris,"Firm, The (1993)",The Firm (1993) {imdb-tt0106918} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-HiFi.mkv,25.48,1730,"Ali's version is higher quality (score: 1730 vs 1400, diff: +330)",YES,The Firm (1993) {imdb-tt0106918} [Bluray-1080p][AC3 5.1][x264]-RDK123.mkv
Ali → Chris,Killers of the Flower Moon (),Killers of the Flower Moon (2023) {imdb-tt5537002} [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,22.10,1450,"Ali's version is higher quality (score: 1450 vs 1250, diff: +200)",YES,Killers of the Flower Moon (2023) {imdb-tt5537002} [AMZN][WEBDL-1080p Proper][EAC3 Atmos 5.1][h264]-FLUX.mkv
Ali → Chris,"Charlie Brown Christmas, A (1965)",A.Charlie.Brown.Christmas.1965.1080p.UHD.BluRay.DD.5.1.HDR.x265.D-Z0N3.mkv,2.48,2150,"Ali's version is higher quality (score: 2150 vs 1700, diff: +450)",YES,A Charlie Brown Christmas (1965) {imdb-tt0059026} [Bluray-1080p][HDR10][AC3 5.1][x265]-D-Z0N3.mkv
Ali → Chris,Eagle Eye (2008),Eagle Eye (2008) {imdb-tt1059786} [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,16.73,1450,"Ali's version is higher quality (score: 1450 vs 1300, diff: +150)",YES,Eagle Eye (2008) {imdb-tt1059786} [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv
Ali → Chris,Conan the Barbarian (2011),Conan the Barbarian 2011 1080p UHD BluRay TrueHD Atmos 7.1 DV x265-LEGi0N.mkv,19.28,2200,"Ali's version is higher quality (score: 2200 vs 1830, diff: +370)",YES,Conan the Barbarian (2011) {imdb-tt0816462} [Bluray-1080p][DV HDR10][TrueHD Atmos 7.1][x265]-LEGi0N.mkv
Ali → Chris,War of the Worlds (2005),War.of.the.Worlds.2005.1080p.UHD.BluRay.DD+7.1.DoVi.x265-SA89.mkv,25.34,2100,"Ali's version is higher quality (score: 2100 vs 1730, diff: +370)",YES,War of the Worlds (2005) {imdb-tt0407304} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-SA89.mkv
Ali → Chris,Miracle on 34th Street (1947),Miracle on 34th Street (1947) {imdb-tt0039628} [Bluray-1080p][EAC3 5.1][x264]-Spyfox.mkv,8.43,1450,"Ali's version is higher quality (score: 1450 vs 1400, diff: +50)",YES,Miracle on 34th Street (1994) {imdb-tt0110527} [Bluray-1080p][AC3 5.1][x264].mkv
Ali → Chris,Dear Evan Hansen (2021),Dear.Evan.Hansen.2021.1080p.BluRay.DD+7.1.x264-iFT.mkv,13.54,1450,"Ali's version is higher quality (score: 1450 vs 1200, diff: +250)",YES,Dear Evan Hansen (2021) {imdb-tt9357050} [WEBDL-1080p][AC3 5.1][h264]-EVO.mkv
Ali → Chris,"Batman The Long Halloween, Part Two (2021)",Batman The Long Halloween Part Two (2021) {imdb-tt14402926} [Bluray-1080p][DTS-HD MA 5.1][x264]-pignus.mkv,5.03,1300,"Ali's version is higher quality (score: 1300 vs 1250, diff: +50)",YES,"Batman The Long Halloween, Part Two (2021) {imdb-tt14402926} [WEBDL-1080p][EAC3 5.1][x264]-EVO.mkv"
Ali → Chris,Mad God (2022),Mad God (2022) {imdb-tt15090124} [Bluray-1080p][EAC3 5.1][x264]-rodeO.mkv,14.57,1450,"Ali's version is higher quality (score: 1450 vs 1180, diff: +270)",YES,Mad God (2021) {imdb-tt15090124} [WEBDL-1080p][AAC 2.0][h264].mkv
Ali → Chris,Babes (2024),Babes (2024) {imdb-tt21276958} [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,12.19,1450,"Ali's version is higher quality (score: 1450 vs 1300, diff: +150)",YES,Babes (2024) {imdb-tt21276958} [Bluray-1080p][DTS-HD MA 5.1][x264]-PiGNUS.mkv
Ali → Chris,"Be My Valentine, Charlie Brown (1975)",Be My Valentine Charlie Brown (1975) {imdb-tt0072687} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-OnlyWeb.mkv,1.82,1250,"Ali's version is higher quality (score: 1250 vs 1200, diff: +50)",YES,"Be My Valentine, Charlie Brown (1975) {imdb-tt0072687} [ATVP][WEBDL-1080p][AC3 5.1][h264]-SiGLA.mkv"
Ali → Chris,Madame Web (2024),Madame Web (2024) {imdb-tt11057302} [Bluray-1080p][TrueHD Atmos 7.1][x264]-PirateM.mkv,9.49,1550,"Ali's version is higher quality (score: 1550 vs 1100, diff: +450)",YES,Madame Web (2024) {imdb-tt11057302} [WEBRip-1080p][AC3 5.1][x264].mp4
Ali → Chris,Ted 2 (2015),Ted 2 (2015) {imdb-tt2637276} {edition-Unrated} [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,11.51,1400,"Ali's version is higher quality (score: 1400 vs 1300, diff: +100)",YES,Ted 2 (2015) {imdb-tt2637276} [Bluray-1080p][DTS 5.1][x264].mkv
Ali → Chris,Deja Vu (2006),Deja Vu (2006) {imdb-tt0453467} - [Bluray-1080p][AC3 5.1][x264]-DON.mkv,15.97,1400,"Ali's version is higher quality (score: 1400 vs 1300, diff: +100)",YES,Déjà Vu (2006) {imdb-tt0453467} [Bluray-1080p][DTS 5.1][x264]-ESiR.mkv
Ali → Chris,Now You See Me (2013),Now You See Me 2013 Extended Cut BluRay 1080p DTS-HD.MA 7.1 x264 dxva-FraMeSToR.mkv,15.35,1540,"Ali's version is higher quality (score: 1540 vs 1300, diff: +240)",YES,Now You See Me (2013) {imdb-tt1670345} {edition-Extended Cut} [Bluray-1080p][DTS-HD MA 7.1][x264]-FraMeSToR.mkv
Ali → Chris,The Game Plan (2007),The Game Plan (2007) {imdb-tt0492956} [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,14.08,1450,"Ali's version is higher quality (score: 1450 vs 1400, diff: +50)",YES,The Game Plan (2007) {imdb-tt0492956} [Bluray-1080p][AC3 5.1][x264]-HD1080.mkv
