Direction,Title,Filename,Size_GB,Quality_Score,Reason,Needs_Review,Will_Replace
Ali → Chris,1917 (2019),1917 (2019) {imdb-tt8579674} - [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10Plus][x265]-HiDt.mkv,14.67,1730,Ali has additional version (lower quality: 1730 vs 1750),NO,N/A
Ali → Chris,1992 (2024),1992 (2024) {imdb-tt4959750} [Bluray-1080p][EAC3 7.1][x264]-ZoroSenpai.mkv,11.00,1450,Ali has additional version (lower quality: 1450 vs 1750),NO,N/A
Ali → Chris,2010 (1984),2010 (1984) {imdb-tt0086837} - [Bluray-1080p][AC3 5.1][x264]-DON.mkv,13.47,1400,Ali has additional version (lower quality: 1400 vs 1750),NO,N/A
Ali → Chris,1944 (2015),1944 (2015) {imdb-tt3213684} [Bluray-1080p][DTS-HD MA 5.1][x264]-GeneMige.mkv,10.78,1300,Ali has additional version (lower quality: 1300 vs 1750),NO,N/A
Ali → Chris,Slice (2018),Slice (2018) {imdb-tt4411234} [Bluray-1080p][AC3 5.1][x264]-BdC.mkv,8.26,1400,Only Ali has this file,NO,N/A
Ali → Chris,Tae Guk Gi The Brotherhood of War (2004),Tae Guk Gi The Brotherhood of War (2004) {imdb-tt0386064} [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,17.70,1450,Only Ali has this file,NO,N/A
Ali → Chris,Predators (2025),Predators (2025) {imdb-tt34963732} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BLOOM.mkv,4.06,1250,Ali has additional version (lower quality: 1250 vs 1730),NO,N/A
Ali → Chris,"Eyes of Tammy Faye, The (2021)",The.Eyes.of.Tammy.Faye.2021.1080p.BluRay.DD+5.1.x264-iFT.mkv,15.53,1450,Only Ali has this file,NO,N/A
Ali → Chris,Joint Security Area (2000),Joint Security Area (2000) {imdb-tt0260991} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,14.70,1400,Only Ali has this file,NO,N/A
Ali → Chris,Cold in July (2014),Cold in July (2014) {imdb-tt1179031} - [Bluray-1080p][AC3 5.1][x264].mkv,13.14,1400,Only Ali has this file,NO,N/A
Ali → Chris,We Need to Talk About Kevin (2011),We Need to Talk About Kevin (2011) {imdb-tt1242460} [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,18.35,1300,Only Ali has this file,NO,N/A
Ali → Chris,One of Them Days (2025),One of Them Days (2025) {imdb-tt32221196} [Bluray-1080p][DTS-HD MA 5.1][x264]-PiGNUS.mkv,10.80,1300,Only Ali has this file,NO,N/A
Ali → Chris,Nobody's Fool (1994),Nobodys.Fool.1994.1080p.UHD.BluRay.DDP5.1.DV.HDR10.x265-DON.mkv,14.62,2180,Only Ali has this file,NO,N/A
Ali → Chris,Lean on Pete (2018),Lean on Pete (2018) {imdb-tt5340300} [Bluray-1080p][AC3 5.1][x264]-VietHD.mkv,15.40,1400,Only Ali has this file,NO,N/A
Ali → Chris,The First Power (1990),The First Power (1990) {imdb-tt0099578} - [Bluray-1080p][DTS-HD MA 2.0][x264]-BAZ.mkv,8.63,1300,Only Ali has this file,NO,N/A
Ali → Chris,Bridget Jones's Diary (2001),Bridget Joness Diary (2001) {imdb-tt0243155} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,9.06,1300,Only Ali has this file,NO,N/A
Ali → Chris,Stone Cold (1991),Stone Cold (1991) {imdb-tt0102984} [Bluray-1080p][DTS-HD MA 5.1][x264]-BARC0DE.mkv,7.78,1300,Only Ali has this file,NO,N/A
Ali → Chris,Trouble Man! (2025),Trouble Man! (2025) {imdb-tt30459064} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-BYNDR.mkv,5.01,1250,Only Ali has this file,NO,N/A
Ali → Chris,Irish Wish (2024),Irish Wish (2024) {imdb-tt21957774} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3.69,1250,Only Ali has this file,NO,N/A
Ali → Chris,Little Big League (1994),Little Big League (1994) {imdb-tt0110363} [Bluray-1080p][DTS-HD MA 5.1][h264]-PRiSTiNE.mkv,29.68,1300,Only Ali has this file,NO,N/A
Ali → Chris,Snow Day (2000),Snow Day (2000) {imdb-tt0184907} - [WEBRip-1080p][EAC3 5.1][x264]-NTb.mkv,9.10,1150,Only Ali has this file,NO,N/A
Ali → Chris,Trainwreck The Astroworld Tragedy (2025),Trainwreck The Astroworld Tragedy (2025) {imdb-tt36856278} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3.14,1250,Only Ali has this file,NO,N/A
Ali → Chris,Charlie's Angels (2000),Charlies Angels (2000) {imdb-tt0160127} [Bluray-1080p][DV HDR10][EAC3 Atmos 5.1][x265]-SM737.mkv,5.75,1730,Ali has additional version (lower quality: 1730 vs 1750),NO,N/A
Ali → Chris,No Country for Old Men (2007),No Country for Old Men (2007) {imdb-tt0477348} [Criterion Collection][Bluray-1080p][DV HDR10][EAC3 5.1][x265]-HiDt.mkv,20.45,1730,Only Ali has this file,NO,N/A
Ali → Chris,Reunion (2024),Reunion (2024) {imdb-tt15338966} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,6.38,1250,Only Ali has this file,NO,N/A
Ali → Chris,Funny Lady (1975),Funny Lady (1975) {imdb-tt0073026} - [Bluray-1080p][DTS-HD MA 5.1][x264]-GeneMige.mkv,15.10,1300,Only Ali has this file,NO,N/A
Ali → Chris,Pinocchio (1940),Pinocchio (1940) {imdb-tt0032910} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,5.32,1450,Ali has additional version (lower quality: 1450 vs 1550),NO,N/A
Ali → Chris,Pinocchio (2019),Pinocchio (2019) {imdb-tt8333746} [Bluray-1080p][EAC3 5.1][x264]-EA.mkv,10.17,1450,Ali has additional version (lower quality: 1450 vs 1550),NO,N/A
Ali → Chris,Backstabbing for Beginners (2018),Backstabbing for Beginners (2018) {imdb-tt5153288} [Bluray-1080p][DTS-HD MA 5.1][x264]-iFT.mkv,12.66,1300,Only Ali has this file,NO,N/A
Ali → Chris,Beauty and the Beast (1991),Beauty and the Beast (1991) {imdb-tt0101414} [Bluray-1080p][DTS 5.1][x264]-Chotab.mkv,8.96,1300,Ali has additional version (lower quality: 1300 vs 1550),NO,N/A
Ali → Chris,Hit and Run (2012),Hit.and.Run.2012.1080p.BluRay.DTS.x264-HDMaNiAcS.mkv,8.81,1300,Only Ali has this file,NO,N/A
Ali → Chris,"Guardians of the Galaxy Holiday Special, The ()",The Guardians of the Galaxy Holiday Special (2022) {imdb-tt13623136} [DSNP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-NTb.mkv,2.33,1250,Only Ali has this file,NO,N/A
Ali → Chris,Aftermath (2024),Aftermath (2024) {imdb-tt26545708} [Bluray-1080p][DTS-HD MA 5.1][x264]-knives.mkv,13.03,1300,Ali has additional version (lower quality: 1300 vs 1400),NO,N/A
Ali → Chris,Barely Lethal (2015),Barely Lethal (2015) {imdb-tt1731701} [Bluray-1080p][EAC3 5.1][x264]-honeyvera.mkv,9.35,1450,Only Ali has this file,NO,N/A
Ali → Chris,Kneecap (2024),Kneecap (2024) {imdb-tt27367464} [Bluray-1080p][DTS-HD MA 5.1][x264]-VETO.mkv,16.89,1300,Only Ali has this file,NO,N/A
Ali → Chris,Ghost Dog The Way of the Samurai (1999),Ghost Dog The Way of the Samurai (1999) {imdb-tt0165798} [Bluray-1080p][EAC3 5.1][x264]-ZQ.mkv,17.94,1450,Only Ali has this file,NO,N/A
Ali → Chris,Notting Hill (1999),Notting.Hill.1999.1080p.HDDVD.DD5.1.x264-CtrlHD.mkv,7.93,750,Only Ali has this file,NO,N/A
Ali → Chris,Marvel's Infinity Saga - The Sacred Timeline Cut - v2,Marvel's Infinity Saga - The Sacred Timeline Cut [FINAL VERSION - REPACK] - PT5.mp4,31.12,0,Ali has additional version (lower quality: 0 vs 0),NO,N/A
Ali → Chris,Marvel's Infinity Saga - The Sacred Timeline Cut - v2,Marvel's Infinity Saga - The Sacred Timeline Cut [FINAL VERSION - REPACK] - PT1.mp4,64.00,0,Ali has additional version (lower quality: 0 vs 0),NO,N/A
Ali → Chris,Marvel's Infinity Saga - The Sacred Timeline Cut - v2,Marvel's Infinity Saga - The Sacred Timeline Cut [FINAL VERSION - REPACK] - PT2.mp4,60.77,0,Ali has additional version (lower quality: 0 vs 0),NO,N/A
Ali → Chris,Marvel's Infinity Saga - The Sacred Timeline Cut - v2,Marvel's Infinity Saga - The Sacred Timeline Cut [FINAL VERSION - REPACK] - PT3.mp4,70.81,0,Ali has additional version (lower quality: 0 vs 0),NO,N/A
Ali → Chris,kid 90 (2021),kid 90 (2021) {imdb-tt14035292} [Hulu][WEBDL-1080p][AAC 2.0][h264]-NTb.mkv,2.47,1180,Only Ali has this file,NO,N/A
Ali → Chris,The Expendables (2010),The Expendables (2010) {imdb-tt1320253} {edition-Extended Director's Cut} [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,12.49,1400,Only Ali has this file,NO,N/A
Ali → Chris,Remember (2015),Remember (2015) {imdb-tt3704050} [Hybrid][Bluray-1080p][AC3 5.1][x264]-SA89.mkv,10.21,1400,Only Ali has this file,NO,N/A
Ali → Chris,Frankenstein (),Frankenstein (2025) {imdb-tt1312221} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-Kitsune.mkv,5.98,1250,Only Ali has this file,NO,N/A
Ali → Chris,Hugo (2011),Hugo (2011) {imdb-tt0970179} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-PTer.mkv,20.46,1730,Only Ali has this file,NO,N/A
Ali → Chris,Rattled! (2022),Rattled! (2022) {imdb-tt13136138} [WEBDL-1080p][EAC3 5.1][h264]-JAVLAR.mkv,4.94,1250,Only Ali has this file,NO,N/A
Ali → Chris,Ronal the Barbarian (2011),Ronal.the.Barbarian.Remux.x264-HANDJOB.mkv,12.91,1000,Only Ali has this file,NO,N/A
Ali → Chris,The Eternal Memory (2023),The Eternal Memory (2023) {imdb-tt24082488} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,5.08,1250,Only Ali has this file,NO,N/A
Ali → Chris,Return of the Jedi (1983),Star.Wars.Episode.VI-Return.Of.The.Jedi.1983.CEE.BluRay.REMUX.1080p.AVC.DTS-HD.MA.6.1-ExDT.mkv,33.75,1740,Only Ali has this file,NO,N/A
Ali → Chris,"Dry, The (2021)",The.Dry.2020.1080p.BluRay.DD+5.1.x264-iFT.mkv,12.95,1450,Only Ali has this file,NO,N/A
Ali → Chris,Princess Khutulun (2021),The Warrior Princess (2021) {imdb-tt15238852} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-PSTX.mkv,5.86,1250,Only Ali has this file,NO,N/A
Ali → Chris,Coyotes (2025),Coyotes (2025) {imdb-tt34581826} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,5.98,1250,Only Ali has this file,NO,N/A
Ali → Chris,A Nightmare on Elm Street (2010),A.Nightmare.on.Elm.Street.2010.1080p.BluRay.DTS.dxva.x264.D-Z0N3.mkv,8.73,1300,Ali has additional version (lower quality: 1300 vs 1580),NO,N/A
Ali → Chris,"Rising of the Moon, The (1957)",The.Rising.Of.The.Moon.1957.1080p.AMZN.WEB-DL.DDP2.0.H.264-ISA.mkv,5.68,1200,Only Ali has this file,NO,N/A
Ali → Chris,"Jungle Book, The (1967)",The Jungle Book (1967) {imdb-tt0061852} - [Bluray-1080p][EAC3 7.1][x264]-playHD.mkv,9.49,1450,Ali has additional version (lower quality: 1450 vs 1730),NO,N/A
Ali → Chris,Blades of Glory (2007),Blades.of.Glory.2007.1080p.BluRay.DTS.x264-NTb.mkv,13.48,1300,Only Ali has this file,NO,N/A
Ali → Chris,Dumbo (1941),Dumbo (1941) {imdb-tt0033563} [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv,4.37,1300,Ali has additional version (lower quality: 1300 vs 1300),NO,N/A
Ali → Chris,Your Fault (2024),Your Fault (2024) {imdb-tt28510079} [AMZN][WEBDL-1080p Proper][EAC3 Atmos 5.1][h264]-APEX.mkv,7.55,1250,Only Ali has this file,NO,N/A
Ali → Chris,Fame (1980),Fame.1980.1080p.BluRay.DTS.x264-HDC.mkv,13.16,1300,Ali has additional version (lower quality: 1300 vs 1740),NO,N/A
Ali → Chris,The Life List (2025),The Life List (2025) {imdb-tt2172954} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-Kitsune.mkv,5.55,1250,Only Ali has this file,NO,N/A
Ali → Chris,A Paw Patrol Christmas (2025),A Paw Patrol Christmas (2025) {imdb-tt37671699} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-HONE.mkv,2.67,1250,Only Ali has this file,NO,N/A
Ali → Chris,First Reformed (2018),First Reformed (2018) {imdb-tt6053438} [Bluray-1080p][DTS 5.1][x264]-NCmt.mkv,10.14,1300,Only Ali has this file,NO,N/A
Ali → Chris,The Flowers of War (2011),The Flowers of War (2011) {imdb-tt1410063} [Bluray-1080p][AC3 5.1][x264]-MELiTE.mkv,9.84,1400,Only Ali has this file,NO,N/A
Ali → Chris,Lover Stalker Killer (2024),Lover Stalker Killer (2024) {imdb-tt30852970} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264].mkv,3.61,1250,Only Ali has this file,NO,N/A
Ali → Chris,Uprising (2024),Uprising (2024) {imdb-tt27987046} [NF][WEBDL-1080p][DV][EAC3 Atmos 5.1][h265]-Kitsune.mkv,4.74,1400,Only Ali has this file,NO,N/A
Ali → Chris,Mercury Rising (1998),Mercury Rising (1998) {imdb-tt0120749} [Bluray-1080p][DTS 5.1][x264]-PiPicK.mkv,12.32,1300,Only Ali has this file,NO,N/A
Ali → Chris,Laggies (2014),Laggies (2014) {imdb-tt2034031} [Bluray-1080p][DTS 5.1][x264]-DON.mkv,8.14,1300,Only Ali has this file,NO,N/A
Ali → Chris,"Unbearable Weight of Massive Talent, The (2022)",The.Unbearable.Weight.of.Massive.Talent.2022.1080p.UHD.BluRay.DDP7.1.DoVi.x265-NTb.mkv,11.51,2050,Only Ali has this file,NO,N/A
Ali → Chris,Nuremberg (2025),Nuremberg (2025) {imdb-tt29567915} - [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-BYNDR.mkv,9.11,1250,Only Ali has this file,NO,N/A
Ali → Chris,Into the White (2012),Into the White (2012) {imdb-tt1876277} [Bluray-1080p][DTS-HD MA 5.1][x264]-GeneMige.mkv,11.16,1300,Only Ali has this file,NO,N/A
Ali → Chris,"Angel, The (2018)",The Angel (2018) {imdb-tt5968274} [Bluray-1080p][DTS 5.1][x264]-BAT1.mkv,10.22,1300,Only Ali has this file,NO,N/A
Ali → Chris,The 12th Man (2017),The 12th Man (2017) {imdb-tt3300980} [Bluray-1080p][DTS-HD HRA 5.1][x264]-HDChina.mkv,13.32,1300,Only Ali has this file,NO,N/A
Ali → Chris,Parallel (2024),Parallel (2024) {imdb-tt14637386} [Bluray-1080p][DTS-HD MA 5.1][x264]-JustWatch.mkv,9.10,1300,Ali has additional version (lower quality: 1300 vs 1450),NO,N/A
Ali → Chris,The Gorge (2025),The Gorge (2025) {imdb-tt13654226} [ATVP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-APEX.mkv,9.54,1250,Only Ali has this file,NO,N/A
Ali → Chris,The Deepest Breath (2023),The Deepest Breath (2023) {imdb-tt24132732} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,4.35,1250,Only Ali has this file,NO,N/A
Ali → Chris,Our Fault (2025),Our Fault (2025) {imdb-tt33311244} - [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-Kitsune.mkv,8.30,1250,Only Ali has this file,NO,N/A
Ali → Chris,The Tearsmith (2024),The Tearsmith (2024) {imdb-tt29114029} [NF][WEBDL-1080p][EAC3 5.1][x264]-NTb.mkv,3.96,1250,Only Ali has this file,NO,N/A
Ali → Chris,Woman Walks Ahead (2017),Woman Walks Ahead (2017) {imdb-tt5436228} [Bluray-1080p][DTS 5.1][x264]-rovers.mkv,7.65,1300,Only Ali has this file,NO,N/A
Ali → Chris,Homeward Bound The Incredible Journey (1993),Homeward Bound The Incredible Journey (1993) {imdb-tt0107131} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-SiGMA.mkv,8.52,1250,Only Ali has this file,NO,N/A
Ali → Chris,Lonely Planet (2024),Lonely Planet (2024) {imdb-tt20194882} [NF][WEBDL-1080p][DV][EAC3 Atmos 5.1][h265]-Kitsune.mkv,2.93,1400,Only Ali has this file,NO,N/A
Ali → Chris,The Farewell (2019),The Farewell (2019) {imdb-tt8637428} [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,10.08,1450,Only Ali has this file,NO,N/A
Ali → Chris,"Aviator, The (2004)",The.Aviator.2004.1080p.BluRay.DTS.x264-DON.mkv,20.44,1300,Only Ali has this file,NO,N/A
Ali → Chris,Sing Sing (2024),Sing Sing (2024) {imdb-tt28479262} - [Bluray-1080p][EAC3 7.1][x264]-ZoroSenpai.mkv,15.86,1450,Only Ali has this file,NO,N/A
Ali → Chris,Nate Bargatzes Nashville Christmas (2024),Nate Bargatzes Nashville Christmas (2024) {imdb-tt34730512} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-RAWR.mkv,3.28,1250,Only Ali has this file,NO,N/A
Ali → Chris,Battle Los Angeles (2011),Battle.Los.Angeles.2011.1080p.BluRay.DTS.x264.D-Z0N3.mkv,12.30,1300,Only Ali has this file,NO,N/A
Ali → Chris,Hellboy (2019),Hellboy (2019) {imdb-tt2274648} [Bluray-1080p][EAC3 7.1][x264]-SbR.mkv,14.64,1450,Ali has additional version (lower quality: 1450 vs 1730),NO,N/A
Ali → Chris,Ne Zha 2 (2025),Ne Zha 2 (2025) {imdb-tt34956443} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv,10.03,1250,Only Ali has this file,NO,N/A
Ali → Chris,Amélie (2001),Amélie (2001) {imdb-tt0211915} [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv,13.86,1400,Only Ali has this file,NO,N/A
Ali → Chris,"American Tail Fievel Goes West, An (1991)",An.American.Tail.Fievel.Goes.West.1991.1080p.BluRay.DTS.x264.D-Z0N3.mkv,10.38,1300,Only Ali has this file,NO,N/A
Ali → Chris,The Hobbit Battle Of The Five Armies (2014),The Hobbit The Battle of the Five Armies (2014) {imdb-tt2310332} {edition-Extended} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-NCmt.mkv,20.71,1730,Only Ali has this file,NO,N/A
Ali → Chris,Hit the Deck (1955),Hit.the.Deck.1955.BluRay.Remux.Warner.Archive.Collection.1080p.AVC.DTS-HD.MA.5.1-PJX.mkv,32.37,1740,Only Ali has this file,NO,N/A
Ali → Chris,20th Century Women (2016),20th Century Women (2016) {imdb-tt4385888} [Bluray-1080p][DTS 5.1][x264]-VietHD.mkv,14.74,1300,Only Ali has this file,NO,N/A
Ali → Chris,How to Train Your Dragon (2010),How.To.Train.Your.Dragon.2010.1080p.BluRay.DD5.1.x264-EbP.mkv,7.43,1400,Ali has additional version (lower quality: 1400 vs 1730),NO,N/A
Ali → Chris,Ali & Ava (2021),Ali and Ava (2022) {imdb-tt11559472} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-KHEZU.mkv,4.88,1250,Only Ali has this file,NO,N/A
Ali → Chris,Ginger and Rosa (2012),Ginger and Rosa (2012) {imdb-tt2115295} [Bluray-1080p][DTS 5.1][x264]-NTb.mkv,8.70,1300,Only Ali has this file,NO,N/A
Ali → Chris,Rat Race (2001),Rat Race (2001) {imdb-tt0250687} [Bluray-1080p Proper][EAC3 5.1][x264]-iFT.mkv,18.58,1450,Only Ali has this file,NO,N/A
Ali → Chris,Hatchet III (2013),Hatchet III (2013) {imdb-tt1870419} {edition-Unrated} [Bluray-1080p][DTS 5.1][x264]-ROVERS.mkv,5.46,1300,Only Ali has this file,NO,N/A
Ali → Chris,Space Cadet (2024),Space Cadet (2024) {imdb-tt21469794} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-Kitsune.mkv,6.07,1250,Only Ali has this file,NO,N/A
Ali → Chris,Hidden in the Woods (2014),Hidden in the Woods (2014) {imdb-tt2320388} [Bluray-1080p][AC3 5.1][x264]-VietHD.mkv,6.88,1400,Only Ali has this file,NO,N/A
Ali → Chris,The Thundermans Return (2024),The Thundermans Return (2024) {imdb-tt26943420} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-MADSKY.mkv,4.88,1250,Only Ali has this file,NO,N/A
Ali → Chris,White Bird (2023),White Bird (2023) {imdb-tt11068094} - [Bluray-1080p][EAC3 5.1][x264]-SPHD.mkv,16.54,1450,Only Ali has this file,NO,N/A
Ali → Chris,Red Dawn (2012),Red.Dawn.2012.1080p.Repack.BluRay.DTS.x264-HDMaNiAcS.mkv,11.07,1300,Ali has additional version (lower quality: 1300 vs 1400),NO,N/A
Ali → Chris,The Inspection (2022),The Inspection (2022) {imdb-tt13495458} [Bluray-1080p][DTS-HD MA 5.1][x264]-HDChina.mkv,11.81,1300,Only Ali has this file,NO,N/A
Ali → Chris,"Blair Witch Project, The (1999)",The Blair Witch Project (1999) {imdb-tt0185937} [Bluray-1080p][AAC 2.0][x264]-hallowed.mkv,6.98,1380,Only Ali has this file,NO,N/A
Ali → Chris,Arlington Road (1999),Arlington.Road.1999.1080p.BluRay.DTS5.1. x264-SbR.mkv,11.62,1300,Only Ali has this file,NO,N/A
Ali → Chris,Han Solo A Star Wars Story (2018),Solo A Star Wars Story (2018) {imdb-tt3778644} - [Hybrid][Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-HiDt.mkv,13.84,1730,Only Ali has this file,NO,N/A
Ali → Chris,Underground (1995),Underground (1995) {imdb-tt0114787} [Bluray-1080p Proper][EAC3 5.1][x264]-ZoroSenpai.mkv,26.79,1450,Only Ali has this file,NO,N/A
Ali → Chris,Memory (2022),Memory.2022.NORDiC.1080p.BluRay.DD5.1.x264-PTNK.mkv,12.31,1400,Ali has additional version (lower quality: 1400 vs 1450),NO,N/A
Ali → Chris,A Dark Song (2016),A Dark Song (2016) {imdb-tt4805316} [Bluray-1080p][DTS-HD MA 5.1][x264]-iFT.mkv,11.00,1300,Only Ali has this file,NO,N/A
Ali → Chris,Expend4bles (2023),Expend4bles (2023) {imdb-tt3291150} [Bluray-1080p][EAC3 7.1][x264]-SbR.mkv,15.28,1450,Only Ali has this file,NO,N/A
Ali → Chris,"40 Year Old Virgin, The (2005)",The 40 Year Old Virgin (2005) {imdb-tt0405422} - {edition-Unrated} [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-HiDt.mkv,21.50,1730,Only Ali has this file,NO,N/A
Ali → Chris,Dont Move (2024),Dont Move (2024) {imdb-tt24807110} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-Kitsune.mkv,3.55,1250,Only Ali has this file,NO,N/A
Ali → Chris,Shall We Dance! (2004),Shall We Dance (2004) {imdb-tt0358135} - [Bluray-1080p][EAC3 5.1][x264]-ZoroSenpai.mkv,15.43,1450,Only Ali has this file,NO,N/A
Ali → Chris,Snakes on a Plane (2006),Snakes on a Plane (2006) {imdb-tt0417148} [Bluray-1080p][DTS 5.1][x264]-CHD.mkv,8.71,1300,Only Ali has this file,NO,N/A
Ali → Chris,Scrapper (2023),Scrapper (2023) {imdb-tt8649252} [Bluray-1080p][EAC3 5.1][x264]-SoLaR.mkv,6.62,1450,Only Ali has this file,NO,N/A
Ali → Chris,The Rule of Jenny Pen (2025),The Rule of Jenny Pen (2025) {imdb-tt6874690} [Bluray-1080p][DTS-HD MA 5.1][h264]-D3US.mkv,17.69,1300,Only Ali has this file,NO,N/A
Ali → Chris,"Bad Guys, The (2022)",The Bad Guys (2022) {imdb-tt8115900} - [Bluray-1080p][EAC3 Atmos 7.1][x264]-iFT.mkv,15.55,1450,Only Ali has this file,NO,N/A
Ali → Chris,Anchors Aweigh (1945),Anchors Aweigh.1945.1080p.BluRay.DTS1.0.x264-HQMUX.mkv,12.71,1300,Only Ali has this file,NO,N/A
Ali → Chris,A Complete Unknown (2024),A Complete Unknown (2024) {imdb-tt11563598} [Hybrid][Bluray-1080p][DV HDR10][EAC3 7.1][x265]-BRUTE.mkv,19.19,1730,Ali has additional version (lower quality: 1730 vs 1730),NO,N/A
Ali → Chris,Star Wars The Last Jedi (2017),Star Wars The Last Jedi (2017) {imdb-tt2527336} - [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-HiDt.mkv,17.59,1730,Only Ali has this file,NO,N/A
Ali → Chris,Ford v Ferrari (2019),Ford v Ferrari (2019) {imdb-tt1950186} [Bluray-1080p][DV HDR10][TrueHD Atmos 7.1][x265]-LEGi0N.mkv,21.20,1830,Only Ali has this file,NO,N/A
Ali → Chris,Night at the Museum - Battle of the Smithsonian (2009),Night.at.the.Museum.Battle.of.the.Smithsonian.2009.1080p.BluRay.DTS.x264-DON.mkv,11.74,1300,Only Ali has this file,NO,N/A
Ali → Chris,"Automat, The (2021)",The.Automat.2021.1080p.AMZN.WEBRip.AAC2.0.x264-PTP.mkv,4.39,1080,Only Ali has this file,NO,N/A
Ali → Chris,Ballerina (2023),Ballerina (2023) {imdb-tt26350277} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-Kitsune.mkv,5.61,1250,Ali has additional version (lower quality: 1250 vs 1730),NO,N/A
Ali → Chris,Jaane Jaan (2023),Jaane Jaan (2023) {imdb-tt15748830} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,6.19,1250,Only Ali has this file,NO,N/A
Ali → Chris,Batman Mask of the Phantasm (1993),Batman Mask of the Phantasm 1993 1080p BluRay FLAC 2.0 x264-TayTO.mkv,10.17,1300,Only Ali has this file,NO,N/A
Ali → Chris,Raiders of the Lost Ark (1981),Raiders of the Lost Ark (1981) {imdb-tt0082971} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-DON.mkv,24.45,1730,Only Ali has this file,NO,N/A
Ali → Chris,Stolen Heist of the Century (2025),Stolen Heist of the Century (2025) {imdb-tt37543886} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3.77,1250,Only Ali has this file,NO,N/A
Ali → Chris,Summer of 69 (2025),Summer of 69 (2025) {imdb-tt32378300} [Hulu][WEBDL-1080p][EAC3 5.1][h264]-playWEB.mkv,3.74,1250,Only Ali has this file,NO,N/A
Ali → Chris,Final Destination 6 (),Final Destination Bloodlines (2025) {imdb-tt9619824} [Bluray-1080p][TrueHD Atmos 7.1][x264]-KNiVES.mkv,13.66,1550,Only Ali has this file,NO,N/A
Ali → Chris,Eternal Sunshine of the Spotless Mind (2004),Eternal.Sunshine.of.the.Spotless.Mind.2004.1080p.UHD.BluRay.DDP5.1.DoVi.x265-NTb.mkv,15.15,2050,Only Ali has this file,NO,N/A
Ali → Chris,Beasts of No Nation (2015),Beasts of No Nation (2015) {imdb-tt1365050} [Bluray-1080p][AC3 5.1][x264]-NTb.mkv,10.69,1400,Only Ali has this file,NO,N/A
Ali → Chris,Caligula (1979),Caligula (1979) {imdb-tt0080491} {edition-Ultimate Cut} [Bluray-1080p][EAC3 5.1][x264]-SPHD.mkv,18.87,1450,Ali has additional version (lower quality: 1450 vs 1500),NO,N/A
Ali → Chris,The Emperors New Groove 2 Kronks New Groove (2005),Kronks New Groove (2005) {imdb-tt0401398} [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv,7.11,1300,Only Ali has this file,NO,N/A
Ali → Chris,A Ghost Story (2017),A Ghost Story (2017) {imdb-tt6265828} [Bluray-1080p Proper][DTS 5.1][x264]-VietHD.mkv,13.05,1300,Only Ali has this file,NO,N/A
