Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,dogtooth zq mkv,Dogtooth (2009) {imdb-tt1379182} [Bluray-1080p][EAC3 5.1][x264]-ZQ.mkv,17.51,0,Only Ali has this file
Ali → Chris,double team sadpanda mkv,Double Team (1997) {imdb-tt0119013} [Bluray-1080p][AC3 2.0][x264]-SADPANDA.mkv,6.55,0,Only Ali has this file
Ali → Chris,amadeus reborn mkv,Amadeus (1984) {imdb-tt0086879} {edition-Theatrical Cut} [Hybrid][Bluray-1080p][DV HDR10][EAC3 5.1][x265]-REBORN.mkv,22.99,0,Only Ali has this file
Ali → Chris,the hudsucker proxy ro mkv,The Hudsucker Proxy (1994) {imdb-tt0110074} [Bluray-1080p][EAC3 5.1][x264]-RO.mkv,15.65,0,Only Ali has this file
Ali → Chris,earth mama kitsune mkv,Earth Mama (2023) {imdb-tt18382328} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-Kitsune.mkv,7.33,0,Only Ali has this file
Ali → Chris,the manchurian candidate p decibel mkv,The.Manchurian.Candidate.1962.1080p.BluRay.DTS.x264-decibeL.mkv,17.07,0,Only Ali has this file
Ali → Chris,20th century women viethd mkv,20th Century Women (2016) {imdb-tt4385888} [Bluray-1080p][DTS 5.1][x264]-VietHD.mkv,14.74,0,Only Ali has this file
Ali → Chris,coraline p ddp7 1 dovi papitahd mp4,Coraline.2009.1080p.UHD.BluRay.DDP7.1.HDR.DoVi.x265-PapitaHD.mp4,6.77,0,Only Ali has this file
Ali → Chris,skyfall sm737 mkv,Skyfall (2012) {imdb-tt1074638} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-SM737.mkv,8.71,0,Only Ali has this file
Ali → Chris,vivo p 5 1 ift mkv,Vivo.2021.1080p.BluRay.DD+5.1.x264-iFT.mkv,12.36,0,Only Ali has this file
Ali → Chris,"lyle, lyle, crocodile p ddp 7 1 legi0n mkv","Lyle, Lyle, Crocodile 2022 1080p BluRay DDP 7.1 DV x265-LEGi0N.mkv",17.18,0,Only Ali has this file
Ali → Chris,escape plan p decibel mkv,Escape.Plan.2013.1080p.BluRay.DTS.x264-decibeL.mkv,12.16,0,Only Ali has this file
Ali → Chris,bean anab0l1c mkv,Bean (1997) {imdb-tt0118689} [Bluray-1080p][EAC3 5.1][x264]-ANAB0L1C.mkv,13.43,0,Only Ali has this file
Ali → Chris,riverdance the animated adventure p now ddp5 1 ntb mkv,Riverdance.The.Animated.Adventure.2021.1080p.NOW.WEB-DL.DDP5.1.H.264-NTb.mkv,4.86,0,Only Ali has this file
Ali → Chris,love lies bleeding hidt mkv,Love Lies Bleeding (2024) {imdb-tt19637052} [Bluray-1080p][EAC3 7.1][x264]-HiDt.mkv,13.78,0,Only Ali has this file
Ali → Chris,batman mask of the phantasm p flac 2 0 tayto mkv,Batman Mask of the Phantasm 1993 1080p BluRay FLAC 2.0 x264-TayTO.mkv,10.17,0,Only Ali has this file
Ali → Chris,the running man zorosenpai mkv,The Running Man (1987) {imdb-tt0093894} - [Bluray-1080p][EAC3 5.1][x264]-ZoroSenpai.mkv,17.80,0,Only Ali has this file
Ali → Chris,t2 trainspotting sm737 mkv,T2 Trainspotting (2017) {imdb-tt2763304} [Bluray-1080p][DV HDR10][EAC3 Atmos 5.1][x265]-SM737.mkv,6.04,0,Only Ali has this file
Ali → Chris,godzilla minus one don mkv,Godzilla Minus One (2023) {imdb-tt23289160} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-DON.mkv,12.30,0,Only Ali has this file
Ali → Chris,men in black ii sqs mkv,Men in Black II (2002) {imdb-tt0120912} [Bluray-1080p][DV HDR10][EAC3 Atmos 5.1][x265]-SQS.mkv,7.58,0,Only Ali has this file
Ali → Chris,national lampoons vacation atelier mkv,National Lampoons Vacation (1983) {imdb-tt0085995} [Bluray-1080p][HDR10][FLAC 1.0][x265]-ATELiER.mkv,20.34,0,Only Ali has this file
Ali → Chris,bor mi vanh chark p ddp5 1 ift mkv,Bor.Mi.Vanh.Chark.2019.1080p.BluRay.DDP5.1.x264-iFT.mkv,12.32,0,Only Ali has this file
Ali → Chris,they shall not grow old emc2 mkv,They Shall Not Grow Old (2018) {imdb-tt7905466} [Bluray-1080p][EAC3 5.1][x264]-eMc2.mkv,7.10,0,Only Ali has this file
Ali → Chris,the death of superman tayto mkv,The Death of Superman (2018) {imdb-tt7167658} [Bluray-1080p][DTS 5.1][x264]-TayTO.mkv,7.09,0,Only Ali has this file
