Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Jurassic Park (1993),ali,Jurassic Park (1993) {tmdb-329} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-HiDt.mkv,7200,Jurassic Park (1993) {tmdb-329} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,6644,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+556)
Avengers Infinity War (2018),ali,Avengers Infinity War (2018) {tmdb-299536} - [Hybrid][Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,Avengers Infinity War (2018) {tmdb-299536} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-EPSiLON.mkv,7600,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+100)
Edge of Tomorrow (2014),tie,Edge of Tomorrow (2014) {tmdb-137113} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,Edge of Tomorrow (2014) {tmdb-137113} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,NO ACTION (keep both),,Both versions are equal quality (7200)
Ant-Man (2015),tie,Ant-Man (2015) {tmdb-102899} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7178,Ant-Man (2015) {tmdb-102899} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7178,NO ACTION (keep both),,Both versions are equal quality (7178)
Master and Commander The Far Side of the World (2003),tie,Master and Commander The Far Side of the World (2003) {tmdb-8619} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,Master and Commander The Far Side of the World (2003) {tmdb-8619} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,NO ACTION (keep both),,Both versions are equal quality (7200)
Apollo 13 (1995),tie,Apollo 13 (1995) {tmdb-568} - [Remux-2160p][DTS-X 7.1][HDR10][HEVC]-Scrambled.mkv,7500,Apollo 13 (1995) {tmdb-568} - [Remux-2160p][DTS-X 7.1][HDR10][h265].mkv,7500,NO ACTION (keep both),,Both versions are equal quality (7500)
Life of Pi (2012),ali,Life of Pi (2012) {tmdb-87827} - [Remux-2160p][DTS-HD MA 7.1][HDR10][HEVC]-FraMeSToR.mkv,7500,,0,COPY Ali → Chris,,Only Ali has this file
Star Trek First Contact (1996),ali,Star Trek First Contact (1996) {tmdb-199} - [Bluray-2160p][TrueHD 7.1][DV HDR10][x265]-SPHD.mkv,7150,Star Trek First Contact (1996) {tmdb-199} - [WEBDL-2160p][EAC3 5.1][x265]-ABBiE.mkv,5453,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+1697)
Guardians of the Galaxy Vol. 3 (2023),ali,Guardians of the Galaxy Vol. 3 (2023) {tmdb-447365} - {edition-IMAX} [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
TRON Legacy (2010),ali,TRON Legacy (2010) {tmdb-20526} - {edition-IMAX} [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Apocalypse Now (1979),ali,Apocalypse Now (1979) {tmdb-28} - {edition-Theatrical Cut} [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,Apocalypse Now (1979) {tmdb-28} - [Bluray-2160p][TrueHD 5.1][HDR10][x265]-JustWatch.mkv,7050,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+150)
