Group,Action,File,Score,Quality,Size_GB,Path
/mnt/synology/rs-movies/Corpse Bride (2005),KEEP,Corpse Bride (2005) {tmdb-3933} - [Hybrid][Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-HiDt.mkv,4815,1080p/Bluray/Atmos/DV HDR10/HEVC,11.57,/mnt/synology/rs-movies/Corpse Bride (2005)/Corpse Bride (2005) {tmdb-3933} - [Hybrid][Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-HiDt.mkv
/mnt/synology/rs-movies/Corpse Bride (2005),REMOVE,Corpse Bride (2005) {tmdb-3933} - [Remux-1080p][DTS-HD MA 5.1][VC1].mkv,4521,1080p/Remux/DTS-HD MA,12.20,/mnt/synology/rs-movies/Corpse Bride (2005)/Corpse Bride (2005) {tmdb-3933} - [Remux-1080p][DTS-HD MA 5.1][VC1].mkv
/mnt/synology/rs-movies/DC League of Super-Pets (2022),KEEP,DC League of Super-Pets (2022) {tmdb-539681} - [Bluray-1080p][EAC3 7.1][x264]-iFT.mkv,3930,1080p/Bluray/DD+/AVC,13.09,/mnt/synology/rs-movies/DC League of Super-Pets (2022)/DC League of Super-Pets (2022) {tmdb-539681} - [Bluray-1080p][EAC3 7.1][x264]-iFT.mkv
/mnt/synology/rs-movies/DC League of Super-Pets (2022),REMOVE,DC League of Super-Pets (2022) {tmdb-539681} - [HMAX][WEBDL-1080p][AC3 5.1][x264]-DKV.mkv,3327,1080p/WEBDL/DD/AVC,7.77,/mnt/synology/rs-movies/DC League of Super-Pets (2022)/DC League of Super-Pets (2022) {tmdb-539681} - [HMAX][WEBDL-1080p][AC3 5.1][x264]-DKV.mkv
/mnt/synology/rs-movies/Daddys Head (2024),KEEP,Daddys Head (2024) {tmdb-1089123} - [Bluray-1080p][DTS-HD MA 5.1][x264]-GUACAMOLE.mkv,4118,1080p/Bluray/DTS-HD MA/AVC,6.86,/mnt/synology/rs-movies/Daddys Head (2024)/Daddys Head (2024) {tmdb-1089123} - [Bluray-1080p][DTS-HD MA 5.1][x264]-GUACAMOLE.mkv
/mnt/synology/rs-movies/Daddys Head (2024),REMOVE,Daddys Head (2024) {tmdb-1089123} - [WEBDL-1080p][EAC3 5.1][h264]-SoundsDirty.mkv,3332,1080p/WEBDL/DD+/AVC,3.20,/mnt/synology/rs-movies/Daddys Head (2024)/Daddys Head (2024) {tmdb-1089123} - [WEBDL-1080p][EAC3 5.1][h264]-SoundsDirty.mkv
/mnt/synology/rs-movies/Dampyr (2022),KEEP,Dampyr (2022) {tmdb-644124} - [Bluray-1080p][EAC3 5.1][x264]-PSTX.mkv,3885,1080p/Bluray/DD+/AVC,8.60,/mnt/synology/rs-movies/Dampyr (2022)/Dampyr (2022) {tmdb-644124} - [Bluray-1080p][EAC3 5.1][x264]-PSTX.mkv
/mnt/synology/rs-movies/Dampyr (2022),REMOVE,Dampyr (2022) {tmdb-644124} - [MA][WEBDL-1080p][EAC3 5.1][x264]-FLUX.mkv,3363,1080p/WEBDL/DD+/AVC,6.38,/mnt/synology/rs-movies/Dampyr (2022)/Dampyr (2022) {tmdb-644124} - [MA][WEBDL-1080p][EAC3 5.1][x264]-FLUX.mkv
/mnt/synology/rs-movies/Dave Chappelle Deep in the Heart of Texas (2017),KEEP,Dave Chappelle Deep in the Heart of Texas (2017) {tmdb-444706} - [NF][WEBDL-1080p][EAC3 5.1][x264]-Kitsune.mkv,3326,1080p/WEBDL/DD+/AVC,2.66,/mnt/synology/rs-movies/Dave Chappelle Deep in the Heart of Texas (2017)/Dave Chappelle Deep in the Heart of Texas (2017) {tmdb-444706} - [NF][WEBDL-1080p][EAC3 5.1][x264]-Kitsune.mkv
/mnt/synology/rs-movies/Dave Chappelle Deep in the Heart of Texas (2017),REMOVE,Dave Chappelle Deep in the Heart of Texas (2017) {tmdb-444706} - [NF][WEBRip-1080p][AC3 5.1][x264]-TrollHD.mkv,3083,1080p/WEBRip/DD/AVC,3.35,/mnt/synology/rs-movies/Dave Chappelle Deep in the Heart of Texas (2017)/Dave Chappelle Deep in the Heart of Texas (2017) {tmdb-444706} - [NF][WEBRip-1080p][AC3 5.1][x264]-TrollHD.mkv
/mnt/synology/rs-movies/Dave Chappelle The Age of Spin (2017),KEEP,Dave Chappelle The Age of Spin (2017) {tmdb-444705} - [NF][WEBDL-1080p][EAC3 5.1][x264]-Kitsune.mkv,3326,1080p/WEBDL/DD+/AVC,2.64,/mnt/synology/rs-movies/Dave Chappelle The Age of Spin (2017)/Dave Chappelle The Age of Spin (2017) {tmdb-444705} - [NF][WEBDL-1080p][EAC3 5.1][x264]-Kitsune.mkv
/mnt/synology/rs-movies/Dave Chappelle The Age of Spin (2017),REMOVE,Dave Chappelle The Age of Spin (2017) {tmdb-444705} - [NF][WEBRip-1080p][AC3 5.1][x264]-TrollHD.mkv,3117,1080p/WEBRip/DD/AVC,6.71,/mnt/synology/rs-movies/Dave Chappelle The Age of Spin (2017)/Dave Chappelle The Age of Spin (2017) {tmdb-444705} - [NF][WEBRip-1080p][AC3 5.1][x264]-TrollHD.mkv
/mnt/synology/rs-movies/Deep Blue Sea (1999),KEEP,Deep Blue Sea (1999) {tmdb-8914} - [Bluray-1080p][EAC3 Atmos 7.1][DV HDR10][x265]-BRUTE.mkv,4900,1080p/Bluray/Atmos/DV HDR10/HEVC,24.63,/mnt/synology/rs-movies/Deep Blue Sea (1999)/Deep Blue Sea (1999) {tmdb-8914} - [Bluray-1080p][EAC3 Atmos 7.1][DV HDR10][x265]-BRUTE.mkv
/mnt/synology/rs-movies/Deep Blue Sea (1999),REMOVE,Deep Blue Sea (1999) {tmdb-8914} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,3950,1080p/Bluray/DTS/AVC,10.10,/mnt/synology/rs-movies/Deep Blue Sea (1999)/Deep Blue Sea (1999) {tmdb-8914} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv
/mnt/synology/rs-movies/Delicatessen (1991),KEEP,Delicatessen (1991) {tmdb-892} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-W4NK3R.mkv,4457,1080p/Bluray/DD+/DV HDR10/HEVC,10.70,/mnt/synology/rs-movies/Delicatessen (1991)/Delicatessen (1991) {tmdb-892} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-W4NK3R.mkv
/mnt/synology/rs-movies/Delicatessen (1991),REMOVE,Delicatessen (1991) {tmdb-892} - [Bluray-1080p][FLAC 2.0][x264]-Skazhutin.mkv,3771,1080p/Bluray/AVC,12.15,/mnt/synology/rs-movies/Delicatessen (1991)/Delicatessen (1991) {tmdb-892} - [Bluray-1080p][FLAC 2.0][x264]-Skazhutin.mkv
/mnt/synology/rs-movies/Dont Look Up (2021),KEEP,Dont Look Up (2021) {tmdb-646380} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][HDR10][h265]-TEPES.mkv,4062,1080p/WEBDL/Atmos/HDR10/HEVC,6.21,/mnt/synology/rs-movies/Dont Look Up (2021)/Dont Look Up (2021) {tmdb-646380} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][HDR10][h265]-TEPES.mkv
/mnt/synology/rs-movies/Dont Look Up (2021),REMOVE,Dont Look Up (2021) {tmdb-646380} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-EVO.mkv,3726,1080p/WEBDL/Atmos/AVC,7.69,/mnt/synology/rs-movies/Dont Look Up (2021)/Dont Look Up (2021) {tmdb-646380} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-EVO.mkv
/mnt/synology/rs-movies/Dr. No (1962),KEEP,Dr. No (1962) {tmdb-646} - [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-HiDt.mkv,4900,1080p/Bluray/Atmos/DV HDR10/HEVC,20.56,/mnt/synology/rs-movies/Dr. No (1962)/Dr. No (1962) {tmdb-646} - [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-HiDt.mkv
/mnt/synology/rs-movies/Dr. No (1962),REMOVE,Dr. No (1962) {tmdb-646} - [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv,3988,1080p/Bluray/DTS/AVC,13.81,/mnt/synology/rs-movies/Dr. No (1962)/Dr. No (1962) {tmdb-646} - [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv
/mnt/synology/rs-movies/Enders Game (2013),KEEP,Enders Game (2013) {tmdb-80274} - [Bluray-1080p Proper][EAC3 Atmos 5.1][HDR10][x265]-SM737.mkv,4564,1080p/Bluray/Atmos/HDR10/HEVC,6.47,/mnt/synology/rs-movies/Enders Game (2013)/Enders Game (2013) {tmdb-80274} - [Bluray-1080p Proper][EAC3 Atmos 5.1][HDR10][x265]-SM737.mkv
/mnt/synology/rs-movies/Enders Game (2013),REMOVE,Enders Game (2013) {tmdb-80274} - [Bluray-1080p Proper][DTS 5.1][x264]-DON.mkv,4028,1080p/Bluray/DTS/AVC,17.84,/mnt/synology/rs-movies/Enders Game (2013)/Enders Game (2013) {tmdb-80274} - [Bluray-1080p Proper][DTS 5.1][x264]-DON.mkv
/mnt/synology/rs-movies/Freakier Friday (2025),KEEP,Freakier Friday (2025) {tmdb-1125257} - [Bluray-1080p][DTS-HD MA 7.1][x264]-VoV.mkv,4223,1080p/Bluray/DTS-HD MA/AVC,17.37,/mnt/synology/rs-movies/Freakier Friday (2025)/Freakier Friday (2025) {tmdb-1125257} - [Bluray-1080p][DTS-HD MA 7.1][x264]-VoV.mkv
/mnt/synology/rs-movies/Freakier Friday (2025),REMOVE,Freakier Friday (2025) {tmdb-1125257} - [WEBDL-1080p][EAC3 Atmos 5.1][h264]-ETHEL.mkv,3731,1080p/WEBDL/Atmos/AVC,8.20,/mnt/synology/rs-movies/Freakier Friday (2025)/Freakier Friday (2025) {tmdb-1125257} - [WEBDL-1080p][EAC3 Atmos 5.1][h264]-ETHEL.mkv
/mnt/synology/rs-movies/Friendship (2025),KEEP,Friendship (2025) {tmdb-1239655} - [Bluray-1080p][EAC3 5.1][x264]-ATELiER.mkv,3950,1080p/Bluray/DD+/AVC,15.06,/mnt/synology/rs-movies/Friendship (2025)/Friendship (2025) {tmdb-1239655} - [Bluray-1080p][EAC3 5.1][x264]-ATELiER.mkv
/mnt/synology/rs-movies/Friendship (2025),REMOVE,Friendship (2025) {tmdb-1239655} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv,3370,1080p/WEBDL/DD+/AVC,7.03,/mnt/synology/rs-movies/Friendship (2025)/Friendship (2025) {tmdb-1239655} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv
/mnt/synology/rs-movies/Godfrey Regular Black (2016),KEEP,Godfrey Regular Black (2016) {tmdb-415730} - [AMZN][WEBDL-1080p][EAC3 2.0][x264]-monkee.mkv,3336,1080p/WEBDL/DD+/AVC,3.69,/mnt/synology/rs-movies/Godfrey Regular Black (2016)/Godfrey Regular Black (2016) {tmdb-415730} - [AMZN][WEBDL-1080p][EAC3 2.0][x264]-monkee.mkv
/mnt/synology/rs-movies/Godfrey Regular Black (2016),REMOVE,Godfrey Regular Black (2016) {tmdb-415730} - [Hulu][WEBDL-720p][AAC 2.0][h264]-monkee.mkv,1209,720p/WEBDL/AAC/AVC,0.98,/mnt/synology/rs-movies/Godfrey Regular Black (2016)/Godfrey Regular Black (2016) {tmdb-415730} - [Hulu][WEBDL-720p][AAC 2.0][h264]-monkee.mkv
/mnt/synology/rs-movies/Gone Baby Gone (2007),KEEP,Gone Baby Gone (2007) {tmdb-4771} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,3951,1080p/Bluray/DTS/AVC,10.11,/mnt/synology/rs-movies/Gone Baby Gone (2007)/Gone Baby Gone (2007) {tmdb-4771} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv
/mnt/synology/rs-movies/Gone Baby Gone (2007),REMOVE,Gone Baby Gone (2007) {tmdb-4771} - [Bluray-1080p][EAC3 5.1][x264]-honeyvera.mkv,3917,1080p/Bluray/DD+/AVC,11.73,/mnt/synology/rs-movies/Gone Baby Gone (2007)/Gone Baby Gone (2007) {tmdb-4771} - [Bluray-1080p][EAC3 5.1][x264]-honeyvera.mkv
/mnt/synology/rs-movies/Good Burger 2 (2023),KEEP,Good Burger 2 (2023) {tmdb-1101582} - [Bluray-1080p][DTS 5.1][x264]-fl00f.mkv,3941,1080p/Bluray/DTS/AVC,9.17,/mnt/synology/rs-movies/Good Burger 2 (2023)/Good Burger 2 (2023) {tmdb-1101582} - [Bluray-1080p][DTS 5.1][x264]-fl00f.mkv
/mnt/synology/rs-movies/Good Burger 2 (2023),REMOVE,Good Burger 2 (2023) {tmdb-1101582} - [Bluray-1080p][AC3 5.1][x264]-ArMor.mkv,3802,1080p/Bluray/DD/AVC,5.26,/mnt/synology/rs-movies/Good Burger 2 (2023)/Good Burger 2 (2023) {tmdb-1101582} - [Bluray-1080p][AC3 5.1][x264]-ArMor.mkv
/mnt/synology/rs-movies/Handling the Undead (2024),KEEP,Handling the Undead (2024) {tmdb-1020896} - [Bluray-1080p][EAC3 5.1][x264]-SbR.mkv,3908,1080p/Bluray/DD+/AVC,10.89,/mnt/synology/rs-movies/Handling the Undead (2024)/Handling the Undead (2024) {tmdb-1020896} - [Bluray-1080p][EAC3 5.1][x264]-SbR.mkv
/mnt/synology/rs-movies/Handling the Undead (2024),REMOVE,Handling the Undead (2024) {tmdb-1020896} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3367,1080p/WEBDL/DD+/AVC,6.76,/mnt/synology/rs-movies/Handling the Undead (2024)/Handling the Undead (2024) {tmdb-1020896} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
/mnt/synology/rs-movies/Home Alone 2 Lost in New York (1992),KEEP,Home Alone 2 Lost in New York (1992) {tmdb-772} - [Bluray-1080p][DTS-HD MA 5.1][x264]-MgB.mkv,4184,1080p/Bluray/DTS-HD MA/AVC,13.45,/mnt/synology/rs-movies/Home Alone 2 Lost in New York (1992)/Home Alone 2 Lost in New York (1992) {tmdb-772} - [Bluray-1080p][DTS-HD MA 5.1][x264]-MgB.mkv
/mnt/synology/rs-movies/Home Alone 2 Lost in New York (1992),REMOVE,Home Alone 2 Lost in New York (1992) {tmdb-772} - [Bluray-1080p][AC3 5.1][x265].mkv,3440,1080p/Bluray/DD/HEVC,4.07,/mnt/synology/rs-movies/Home Alone 2 Lost in New York (1992)/Home Alone 2 Lost in New York (1992) {tmdb-772} - [Bluray-1080p][AC3 5.1][x265].mkv
/mnt/synology/rs-movies/Hustlers (2019),KEEP,Hustlers (2019) {tmdb-540901} - [Bluray-1080p][EAC3 7.1][x264]-LoRD.mkv,3932,1080p/Bluray/DD+/AVC,13.25,/mnt/synology/rs-movies/Hustlers (2019)/Hustlers (2019) {tmdb-540901} - [Bluray-1080p][EAC3 7.1][x264]-LoRD.mkv
/mnt/synology/rs-movies/Hustlers (2019),REMOVE,Hustlers (2019) {tmdb-540901} - [Bluray-1080p][AC3 5.1][x264]-AAA.mkv,3826,1080p/Bluray/DD/AVC,7.65,/mnt/synology/rs-movies/Hustlers (2019)/Hustlers (2019) {tmdb-540901} - [Bluray-1080p][AC3 5.1][x264]-AAA.mkv
/mnt/synology/rs-movies/In a Valley of Violence (2016),KEEP,In a Valley of Violence (2016) {tmdb-291356} - [Bluray-1080p][DTS-HD MA 5.1][x264]-iFT.mkv,4180,1080p/Bluray/DTS-HD MA/AVC,13.06,/mnt/synology/rs-movies/In a Valley of Violence (2016)/In a Valley of Violence (2016) {tmdb-291356} - [Bluray-1080p][DTS-HD MA 5.1][x264]-iFT.mkv
/mnt/synology/rs-movies/In a Valley of Violence (2016),REMOVE,In a Valley of Violence (2016) {tmdb-291356} - [Bluray-1080p][DTS 5.1][x264].mkv,3980,1080p/Bluray/DTS/AVC,13.03,/mnt/synology/rs-movies/In a Valley of Violence (2016)/In a Valley of Violence (2016) {tmdb-291356} - [Bluray-1080p][DTS 5.1][x264].mkv
/mnt/synology/rs-movies/Incendies (2010),KEEP,Incendies (2010) {tmdb-46738} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-PTer.mkv,4501,1080p/Bluray/DD+/DV HDR10/HEVC,15.14,/mnt/synology/rs-movies/Incendies (2010)/Incendies (2010) {tmdb-46738} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-PTer.mkv
/mnt/synology/rs-movies/Incendies (2010),REMOVE,Incendies (2010) {tmdb-46738} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,4048,1080p/Bluray/DTS/AVC,19.88,/mnt/synology/rs-movies/Incendies (2010)/Incendies (2010) {tmdb-46738} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv
/mnt/synology/rs-movies/Incredibles 2 (2018),KEEP,Incredibles 2 (2018) {tmdb-260513} - [Bluray-1080p][EAC3 7.1][x264]-NCmt.mkv,3925,1080p/Bluray/DD+/AVC,12.58,/mnt/synology/rs-movies/Incredibles 2 (2018)/Incredibles 2 (2018) {tmdb-260513} - [Bluray-1080p][EAC3 7.1][x264]-NCmt.mkv
/mnt/synology/rs-movies/Incredibles 2 (2018),REMOVE,Incredibles 2 (2018) {tmdb-260513} - [Bluray-1080p][DTS 5.1][x264].mkv,3904,1080p/Bluray/DTS/AVC,5.47,/mnt/synology/rs-movies/Incredibles 2 (2018)/Incredibles 2 (2018) {tmdb-260513} - [Bluray-1080p][DTS 5.1][x264].mkv
/mnt/synology/rs-movies/Indiana Jones and the Temple of Doom (1984),KEEP,Indiana Jones and the Temple of Doom (1984) {tmdb-87} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-DON.mkv,4550,1080p/Bluray/DD+/DV HDR10/HEVC,27.49,/mnt/synology/rs-movies/Indiana Jones and the Temple of Doom (1984)/Indiana Jones and the Temple of Doom (1984) {tmdb-87} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-DON.mkv
/mnt/synology/rs-movies/Indiana Jones and the Temple of Doom (1984),REMOVE,Indiana Jones and the Temple of Doom (1984) {tmdb-87} - [Bluray-1080p][DTS 5.1][x264].mkv,3937,1080p/Bluray/DTS/AVC,8.75,/mnt/synology/rs-movies/Indiana Jones and the Temple of Doom (1984)/Indiana Jones and the Temple of Doom (1984) {tmdb-87} - [Bluray-1080p][DTS 5.1][x264].mkv
/mnt/synology/rs-movies/Jay Kelly (2025),KEEP,Jay Kelly (2025) {tmdb-1069905} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3702,1080p/WEBDL/Atmos/AVC,5.29,/mnt/synology/rs-movies/Jay Kelly (2025)/Jay Kelly (2025) {tmdb-1069905} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv
/mnt/synology/rs-movies/Jay Kelly (2025),REMOVE,Jay Kelly (2025) {tmdb-1069905} - [NF][WEBDL-720p][EAC3 Atmos 5.1][x264]-NoRBiT.mkv,1680,720p/WEBDL/Atmos/AVC,3.08,/mnt/synology/rs-movies/Jay Kelly (2025)/Jay Kelly (2025) {tmdb-1069905} - [NF][WEBDL-720p][EAC3 Atmos 5.1][x264]-NoRBiT.mkv
