Group,Action,File,Score,Quality,Size_GB,Path
/mnt/synology/rs-movies/American Psycho (2000),KEEP,American Psycho (2000) {tmdb-1359} - {edition-Uncut} [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-SQS.mkv,4754,1080p/Bluray/Atmos/DV HDR10/HEVC,5.45,/mnt/synology/rs-movies/American Psycho (2000)/American Psycho (2000) {tmdb-1359} - {edition-Uncut} [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-SQS.mkv
/mnt/synology/rs-movies/American Psycho (2000),REMOVE,American Psycho (2000) {tmdb-1359} - [Bluray-1080p][EAC3 7.1][x264]-c0kE.mkv,3933,1080p/Bluray/DD+/AVC,13.37,/mnt/synology/rs-movies/American Psycho (2000)/American Psycho (2000) {tmdb-1359} - [Bluray-1080p][EAC3 7.1][x264]-c0kE.mkv
/mnt/synology/rs-movies/Baby Driver (2017),KEEP,Baby Driver (2017) {tmdb-339403} - [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-SM737.mkv,4756,1080p/Bluray/Atmos/DV HDR10/HEVC,5.69,/mnt/synology/rs-movies/Baby Driver (2017)/Baby Driver (2017) {tmdb-339403} - [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10][x265]-SM737.mkv
/mnt/synology/rs-movies/Baby Driver (2017),REMOVE,Baby Driver (2017) {tmdb-339403} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-NCmt.mkv,4322,1080p/Bluray/DD+/HDR10/HEVC,17.26,/mnt/synology/rs-movies/Baby Driver (2017)/Baby Driver (2017) {tmdb-339403} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-NCmt.mkv
/mnt/synology/rs-movies/Big Trouble in Little China (1986),KEEP,Big Trouble in Little China (1986) {tmdb-6978} - [Hybrid][Bluray-1080p][EAC3 5.1][x264]-MaG.mkv,3964,1080p/Bluray/DD+/AVC,16.49,/mnt/synology/rs-movies/Big Trouble in Little China (1986)/Big Trouble in Little China (1986) {tmdb-6978} - [Hybrid][Bluray-1080p][EAC3 5.1][x264]-MaG.mkv
/mnt/synology/rs-movies/Big Trouble in Little China (1986),REMOVE,Big Trouble in Little China (1986) {tmdb-6978} - [Bluray-1080p][DTS 5.1][x264].mkv,3933,1080p/Bluray/DTS/AVC,8.38,/mnt/synology/rs-movies/Big Trouble in Little China (1986)/Big Trouble in Little China (1986) {tmdb-6978} - [Bluray-1080p][DTS 5.1][x264].mkv
/mnt/synology/rs-movies/Bob Marley One Love (2024),KEEP,Bob Marley One Love (2024) {tmdb-802219} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-BRUTE.mkv,4428,1080p/Bluray/DD+/DV HDR10/HEVC,7.84,/mnt/synology/rs-movies/Bob Marley One Love (2024)/Bob Marley One Love (2024) {tmdb-802219} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-BRUTE.mkv
/mnt/synology/rs-movies/Bob Marley One Love (2024),REMOVE,Bob Marley One Love (2024) {tmdb-802219} - [WEBDL-1080p][EAC3 Atmos 5.1][h264]-ETHEL.mkv,3704,1080p/WEBDL/Atmos/AVC,5.45,/mnt/synology/rs-movies/Bob Marley One Love (2024)/Bob Marley One Love (2024) {tmdb-802219} - [WEBDL-1080p][EAC3 Atmos 5.1][h264]-ETHEL.mkv
/mnt/synology/rs-movies/Borderline (2025),KEEP,Borderline (2025) {tmdb-1013482} - [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,3870,1080p/Bluray/DD+/AVC,7.07,/mnt/synology/rs-movies/Borderline (2025)/Borderline (2025) {tmdb-1013482} - [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv
/mnt/synology/rs-movies/Borderline (2025),REMOVE,Borderline (2025) {tmdb-1013482} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv,3362,1080p/WEBDL/DD+/AVC,6.27,/mnt/synology/rs-movies/Borderline (2025)/Borderline (2025) {tmdb-1013482} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv
/mnt/synology/rs-movies/Breakwater (2023),KEEP,Breakwater (2023) {tmdb-1006228} - [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,3872,1080p/Bluray/DD+/AVC,7.25,/mnt/synology/rs-movies/Breakwater (2023)/Breakwater (2023) {tmdb-1006228} - [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv
/mnt/synology/rs-movies/Breakwater (2023),REMOVE,Breakwater (2023) {tmdb-1006228} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3365,1080p/WEBDL/DD+/AVC,6.56,/mnt/synology/rs-movies/Breakwater (2023)/Breakwater (2023) {tmdb-1006228} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
/mnt/synology/rs-movies/Bring It On (2000),KEEP,Bring It On (2000) {tmdb-1588} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SM737.mkv,4404,1080p/Bluray/DD+/DV HDR10/HEVC,5.49,/mnt/synology/rs-movies/Bring It On (2000)/Bring It On (2000) {tmdb-1588} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SM737.mkv
/mnt/synology/rs-movies/Bring It On (2000),REMOVE,Bring It On (2000) {tmdb-1588} - [Bluray-1080p][DTS 5.1][x264]-ero.mkv,3995,1080p/Bluray/DTS/AVC,14.55,/mnt/synology/rs-movies/Bring It On (2000)/Bring It On (2000) {tmdb-1588} - [Bluray-1080p][DTS 5.1][x264]-ero.mkv
/mnt/synology/rs-movies/Champions (2023),KEEP,Champions (2023) {tmdb-933419} - [Bluray-1080p][EAC3 5.1][x264]-HiDt.mkv,3923,1080p/Bluray/DD+/AVC,12.36,/mnt/synology/rs-movies/Champions (2023)/Champions (2023) {tmdb-933419} - [Bluray-1080p][EAC3 5.1][x264]-HiDt.mkv
/mnt/synology/rs-movies/Champions (2023),REMOVE,Champions (2023) {tmdb-933419} - [MA][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3725,1080p/WEBDL/Atmos/AVC,7.55,/mnt/synology/rs-movies/Champions (2023)/Champions (2023) {tmdb-933419} - [MA][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv
/mnt/synology/rs-movies/Childs Play 2 (1990),KEEP,Childs Play 2 (1990) {tmdb-11186} - [Bluray-1080p][EAC3 Atmos 7.1][DV HDR10][x265]-NTb.mkv,4824,1080p/Bluray/Atmos/DV HDR10/HEVC,12.48,/mnt/synology/rs-movies/Childs Play 2 (1990)/Childs Play 2 (1990) {tmdb-11186} - [Bluray-1080p][EAC3 Atmos 7.1][DV HDR10][x265]-NTb.mkv
/mnt/synology/rs-movies/Childs Play 2 (1990),REMOVE,Childs Play 2 (1990) {tmdb-11186} - [Bluray-1080p][EAC3 7.1][x264]-iFT.mkv,3924,1080p/Bluray/DD+/AVC,12.42,/mnt/synology/rs-movies/Childs Play 2 (1990)/Childs Play 2 (1990) {tmdb-11186} - [Bluray-1080p][EAC3 7.1][x264]-iFT.mkv
/mnt/synology/rs-movies/City of God (2002),KEEP,City of God (2002) {tmdb-598} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,4000,1080p/Bluray/DD+/AVC,22.92,/mnt/synology/rs-movies/City of God (2002)/City of God (2002) {tmdb-598} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv
/mnt/synology/rs-movies/City of God (2002),REMOVE,City of God (2002) {tmdb-598} - [Bluray-1080p][DTS 5.1][x264]-HDC.mkv,3956,1080p/Bluray/DTS/AVC,10.62,/mnt/synology/rs-movies/City of God (2002)/City of God (2002) {tmdb-598} - [Bluray-1080p][DTS 5.1][x264]-HDC.mkv
/mnt/synology/rs-movies/Cool Hand Luke (1967),KEEP,Cool Hand Luke (1967) {tmdb-903} - [Bluray-1080p][FLAC 2.0][HDR10][x265]-DON.mkv,4200,1080p/Bluray/HDR10/HEVC,22.27,/mnt/synology/rs-movies/Cool Hand Luke (1967)/Cool Hand Luke (1967) {tmdb-903} - [Bluray-1080p][FLAC 2.0][HDR10][x265]-DON.mkv
/mnt/synology/rs-movies/Cool Hand Luke (1967),REMOVE,Cool Hand Luke (1967) {tmdb-903} - [Bluray-1080p][AC3 1.0][x264]-ESiR.mkv,3829,1080p/Bluray/DD/AVC,7.93,/mnt/synology/rs-movies/Cool Hand Luke (1967)/Cool Hand Luke (1967) {tmdb-903} - [Bluray-1080p][AC3 1.0][x264]-ESiR.mkv
