Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Locked (2025),chris,,0,Locked (2025) {imdb-tt26671996} - [Bluray-1080p][DTS-HD MA 5.1][h264]-RiSEHD.mkv,4250,COPY Chris → Ali,,Only Chris has this file
Cunk on Britain (2018) {tvdb-339732},chris,,0,Cunk on Christmas (2016) {imdb-tt6326816} [WEBDL-1080p][AAC 2.0][h264]-AEK.mkv,3214,COPY Chris → Ali,,Only Chris has this file
"ChubbChubbs!, The (2002)",chris,,0,The ChubbChubbs! (2002) {imdb-tt0331218} - [Bluray-1080p][EAC3 5.1][x264]-PERFETTO.mkv,3803,COPY Chris → Ali,,Only Chris has this file
40 Acres (2025),chris,,0,40 Acres (2025) {imdb-tt29634843} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv,3341,COPY Chris → Ali,,Only Chris has this file
Around the World in 80 Days (2021) {tvdb-388899},tie,Around the World in 80 Days (2021) - S01E07 - Episode 7 [WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,3335,Around the World in 80 Days (2021) - S01E07 - Episode 7 [WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,3335,NO ACTION (keep both),,Both versions are equal quality (3335)
The Kominsky Method (2018) {tvdb-350869},tie,The Kominsky Method (2018) - S02E03 - Chapter 11. An Odd Couple Occurs [WEBDL-1080p][EAC3 5.1][h264]-Cinefeel.mkv,3320,The Kominsky Method (2018) - S02E03 - Chapter 11. An Odd Couple Occurs [WEBDL-1080p][EAC3 5.1][h264]-Cinefeel.mkv,3320,NO ACTION (keep both),,Both versions are equal quality (3320)
Civilisations - Rise and Fall (2025) {tvdb-470455},tie,Civilisations - Rise and Fall (2025) - S01E01 - Rome [WEBDL-1080p][AAC 2.0][h264]-RAWR.mkv,3216,Civilisations - Rise and Fall (2025) - S01E01 - Rome [WEBDL-1080p][AAC 2.0][h264]-RAWR.mkv,3216,NO ACTION (keep both),,Both versions are equal quality (3216)
Ray Donovan (2013) {tvdb-259866},ali,Ray Donovan (2013) - S03E12 - Exsuscito [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv,3796,Ray Donovan (2013) - S07E10 - Youll Never Walk Alone [HDTV-1080p][EAC3 5.1][h264].mkv,2531,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/TV Shows,Ali's version is higher quality (+1265)
Touch (2012) {tvdb-248935},tie,Touch (2012) - S02E10 - Two of a Kind [WEBDL-1080p][EAC3 5.1][x264]-TrollHD.mkv,3339,Touch (2012) - S02E08 - Reunions [WEBDL-1080p][EAC3 5.1][x264].mkv,3339,NO ACTION (keep both),,Both versions are equal quality (3339)
F is for Family (2015) {tvdb-287299},chris,,0,F is for Family (2015) - S03E07 - Summer Vacation [HDTV-1080p][EAC3 5.1][x264].mkv,2507,COPY Chris → Ali,,Only Chris has this file
