Group,Action,File,Score,Quality,Size_GB,Path
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP12 - Days of Future Past (Part 2).mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP12 - Days of Future Past (Part 2).mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP51 - Courage.mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP51 - Courage.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,"EP52 - Secrets, Not Long Buried.mkv",18,Unknown,1.86,"/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP52 - Secrets, Not Long Buried.mkv"
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP11 - Days of Future Past (Part 1).mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP11 - Days of Future Past (Part 1).mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP09 - The Cure.mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP09 - The Cure.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP07 - Slave Island.mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP07 - Slave Island.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP01 - Night of the Sentinels (Part 1).mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP01 - Night of the Sentinels (Part 1).mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP27 - Out of the Past (Part 1).mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP27 - Out of the Past (Part 1).mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP05 - Captive Hearts.mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP05 - Captive Hearts.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP13 - The Final Decision.mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP13 - The Final Decision.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP02 - Night of the Sentinels (Part 2).mkv,18,Unknown,1.86,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP02 - Night of the Sentinels (Part 2).mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,"EP38 - Savage Land, Strange Heart (Part 1).mkv",18,Unknown,1.86,"/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP38 - Savage Land, Strange Heart (Part 1).mkv"
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP04 - Deadly Reunions.mkv,18,Unknown,1.85,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP04 - Deadly Reunions.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP43 - The Dark Phoenix (Part 4) The Fate of the Phoenix.mkv,18,Unknown,1.84,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP43 - The Dark Phoenix (Part 4) The Fate of the Phoenix.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP47 - A Deal with the Devil.mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP47 - A Deal with the Devil.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP67 - The Phalanx Covenant (Part 1).mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP67 - The Phalanx Covenant (Part 1).mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP59 - Bloodlines.mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP59 - Bloodlines.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP63 - Beyond Good and Evil (Part 1) The End of Time.mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP63 - Beyond Good and Evil (Part 1) The End of Time.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP54 - One Man's Worth (Part 1).mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP54 - One Man's Worth (Part 1).mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP66 - Beyond Good and Evil (Part 4) End and Beginning.mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP66 - Beyond Good and Evil (Part 4) End and Beginning.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP45 - Love in Vain.mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP45 - Love in Vain.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP65 - Beyond Good and Evil (Part 3) The Lazarus Chamber.mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP65 - Beyond Good and Evil (Part 3) The Lazarus Chamber.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP69 - Storm Front (Part 1).mkv,17,Unknown,1.79,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP69 - Storm Front (Part 1).mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP62 - Have Yourself a Morlock Little X-Mas.mkv,17,Unknown,1.78,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP62 - Have Yourself a Morlock Little X-Mas.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP42 - The Dark Phoenix (Part 3) The Dark Phoenix.mkv,17,Unknown,1.77,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP42 - The Dark Phoenix (Part 3) The Dark Phoenix.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP74 - Hidden Agendas.mkv,17,Unknown,1.75,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP74 - Hidden Agendas.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP75 - Descent.mkv,17,Unknown,1.75,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP75 - Descent.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP36 - Longshot.mkv,17,Unknown,1.75,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP36 - Longshot.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP76 - Graduation Day.mkv,17,Unknown,1.75,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP76 - Graduation Day.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP72 - Jubilee's Fairytale Theatre.mkv,17,Unknown,1.75,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP72 - Jubilee's Fairytale Theatre.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP71 - The Fifth Horseman.mkv,17,Unknown,1.75,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP71 - The Fifth Horseman.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP73 - Old Soldiers.mkv,17,Unknown,1.74,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP73 - Old Soldiers.mkv
UNPARSED:/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151},REMOVE,EP50 - Xavier Remembers.mkv,17,Unknown,1.70,/mnt/synology/rs-tv/Fraggle Rock - The Animated Series (1987) {tvdb-139151}/EP50 - Xavier Remembers.mkv
UNPARSED:/mnt/synology/rs-tv/Minority Report (2015) {tvdb-295680}/01,KEEP,2015-11-02 - Honor Among Thieves.mkv,14,Unknown,1.49,/mnt/synology/rs-tv/Minority Report (2015) {tvdb-295680}/01/2015-11-02 - Honor Among Thieves.mkv
UNPARSED:/mnt/synology/rs-tv/Minority Report (2015) {tvdb-295680}/01,REMOVE,2015-11-30 - Everybody Runs.mkv,14,Unknown,1.42,/mnt/synology/rs-tv/Minority Report (2015) {tvdb-295680}/01/2015-11-30 - Everybody Runs.mkv
UNPARSED:/mnt/synology/rs-tv/Minority Report (2015) {tvdb-295680}/01,REMOVE,2015-11-16 - The American Dream.mkv,14,Unknown,1.42,/mnt/synology/rs-tv/Minority Report (2015) {tvdb-295680}/01/2015-11-16 - The American Dream.mkv
UNPARSED:/mnt/synology/rs-tv/Minority Report (2015) {tvdb-295680}/01,REMOVE,2015-09-28 - Mr. Nice Guy.mkv,14,Unknown,1.41,/mnt/synology/rs-tv/Minority Report (2015) {tvdb-295680}/01/2015-09-28 - Mr. Nice Guy.mkv
