Group,Action,File,Score,Quality,Size_GB,Path
Washington Black (2025) {tvdb-410925}/Season 01/S01E06,REMOVE,Washington Black (2025) - S01E06 - Selamiut [WEBDL-720p][EAC3 5.1][h264]-BiOMA.mkv,1509,720p/WEBDL/DD+/AVC,0.94,/mnt/synology/rs-tv/Washington Black (2025) {tvdb-410925}/Season 01/Washington Black (2025) - S01E06 - Selamiut [WEBDL-720p][EAC3 5.1][h264]-BiOMA.mkv
Washington Black (2025) {tvdb-410925}/Season 01/S01E07,KEEP,Washington Black (2025) - S01E07 - J’ouvert Morning [DSNP][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3516,1080p/WEBDL/DD+/AVC,1.69,/mnt/synology/rs-tv/Washington Black (2025) {tvdb-410925}/Season 01/Washington Black (2025) - S01E07 - J’ouvert Morning [DSNP][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
Washington Black (2025) {tvdb-410925}/Season 01/S01E07,REMOVE,Washington Black (2025) - S01E07 - J’ouvert Morning [WEBDL-720p][EAC3 5.1][h264]-BiOMA.mkv,1508,720p/WEBDL/DD+/AVC,0.87,/mnt/synology/rs-tv/Washington Black (2025) {tvdb-410925}/Season 01/Washington Black (2025) - S01E07 - J’ouvert Morning [WEBDL-720p][EAC3 5.1][h264]-BiOMA.mkv
Washington Black (2025) {tvdb-410925}/Season 01/S01E08,KEEP,Washington Black (2025) - S01E08 - If You See My Mama Whisper Her This… [DSNP][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3519,1080p/WEBDL/DD+/AVC,1.93,/mnt/synology/rs-tv/Washington Black (2025) {tvdb-410925}/Season 01/Washington Black (2025) - S01E08 - If You See My Mama Whisper Her This… [DSNP][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
Washington Black (2025) {tvdb-410925}/Season 01/S01E08,REMOVE,Washington Black (2025) - S01E08 - If You See My Mama Whisper Her This… [WEBDL-720p][EAC3 5.1][h264]-BiOMA.mkv,1510,720p/WEBDL/DD+/AVC,1.01,/mnt/synology/rs-tv/Washington Black (2025) {tvdb-410925}/Season 01/Washington Black (2025) - S01E08 - If You See My Mama Whisper Her This… [WEBDL-720p][EAC3 5.1][h264]-BiOMA.mkv
Whose Line Is It Anyway! (US) (1998) {tvdb-76808}/Season 16/S16E20,KEEP,Whose Line Is It Anyway! (US) (1998) - S16E20 - Jonathan Mangum 8 [WEBDL-1080p][AAC 2.0][h264]-BAE.mkv,3411,1080p/WEBDL/AAC/AVC,1.19,/mnt/synology/rs-tv/Whose Line Is It Anyway! (US) (1998) {tvdb-76808}/Season 16/Whose Line Is It Anyway! (US) (1998) - S16E20 - Jonathan Mangum 8 [WEBDL-1080p][AAC 2.0][h264]-BAE.mkv
Whose Line Is It Anyway! (US) (1998) {tvdb-76808}/Season 16/S16E20,REMOVE,Whose Line Is It Anyway! (US) (1998) - S16E20 - Jonathan Mangum 8 [HDTV-720p][AC3 5.1][h264].ts,462,720p/HDTV/DD/AVC,1.27,/mnt/synology/rs-tv/Whose Line Is It Anyway! (US) (1998) {tvdb-76808}/Season 16/Whose Line Is It Anyway! (US) (1998) - S16E20 - Jonathan Mangum 8 [HDTV-720p][AC3 5.1][h264].ts
Will Trent (2023) {tvdb-419879}/Season 02/S02E01,KEEP,Will Trent (2023) - S02E01 - Me Llamo Will Trent [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3530,1080p/WEBDL/DD+/AVC,3.07,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E01 - Me Llamo Will Trent [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E01,REMOVE,Will Trent (2023) - S02E01 - Me Llamo Will Trent [WEBDL-1080p][EAC3 5.1][h264].mkv,3518,1080p/WEBDL/DD+/AVC,1.84,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E01 - Me Llamo Will Trent [WEBDL-1080p][EAC3 5.1][h264].mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E02,KEEP,Will Trent (2023) - S02E02 - Its the Work I Signed Up For [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3530,1080p/WEBDL/DD+/AVC,3.03,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E02 - Its the Work I Signed Up For [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E02,REMOVE,Will Trent (2023) - S02E02 - Its the Work I Signed Up For [WEBDL-1080p][EAC3 5.1][h264].mkv,3518,1080p/WEBDL/DD+/AVC,1.84,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E02 - Its the Work I Signed Up For [WEBDL-1080p][EAC3 5.1][h264].mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E03,KEEP,Will Trent (2023) - S02E03 - You Dont Have to Understand [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3530,1080p/WEBDL/DD+/AVC,3.03,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E03 - You Dont Have to Understand [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E03,REMOVE,Will Trent (2023) - S02E03 - You Dont Have to Understand [WEBDL-1080p][EAC3 5.1][h264].mkv,3518,1080p/WEBDL/DD+/AVC,1.83,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E03 - You Dont Have to Understand [WEBDL-1080p][EAC3 5.1][h264].mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E04,KEEP,Will Trent (2023) - S02E04 - Its Easier to Handcuff a Human Being [WEBDL-1080p][EAC3 5.1][h264]-ELEANOR.mkv,3534,1080p/WEBDL/DD+/AVC,3.44,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E04 - Its Easier to Handcuff a Human Being [WEBDL-1080p][EAC3 5.1][h264]-ELEANOR.mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E04,REMOVE,Will Trent (2023) - S02E04 - Its Easier to Handcuff a Human Being [WEBDL-1080p][EAC3 5.1][h264].mkv,3534,1080p/WEBDL/DD+/AVC,3.44,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E04 - Its Easier to Handcuff a Human Being [WEBDL-1080p][EAC3 5.1][h264].mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E05,KEEP,Will Trent (2023) - S02E05 - Capt. Duke Wagners Daughter [WEBDL-1080p][EAC3 5.1][h264].mkv,3530,1080p/WEBDL/DD+/AVC,3.03,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E05 - Capt. Duke Wagners Daughter [WEBDL-1080p][EAC3 5.1][h264].mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E05,REMOVE,Will Trent (2023) - S02E05 - Capt. Duke Wagners Daughter [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3529,1080p/WEBDL/DD+/AVC,3.00,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E05 - Capt. Duke Wagners Daughter [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E06,KEEP,Will Trent (2023) - S02E06 - We Are Family [WEBDL-1080p][EAC3 5.1][h264].mkv,3531,1080p/WEBDL/DD+/AVC,3.10,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E06 - We Are Family [WEBDL-1080p][EAC3 5.1][h264].mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E06,REMOVE,Will Trent (2023) - S02E06 - We Are Family [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3530,1080p/WEBDL/DD+/AVC,3.07,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E06 - We Are Family [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
Will Trent (2023) {tvdb-419879}/Season 02/S02E07,KEEP,Will Trent (2023) - S02E07 - Have You Never Been to a Wedding [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3530,1080p/WEBDL/DD+/AVC,3.06,/mnt/synology/rs-tv/Will Trent (2023) {tvdb-419879}/Season 02/Will Trent (2023) - S02E07 - Have You Never Been to a Wedding [WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
