Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Dogma (1999),tie,Dogma (1999) {tmdb-1832} - [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,3884,Dogma (1999) {tmdb-1832} - [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,3884,NO ACTION (keep both),,Both versions are equal quality (3884)
Eraserhead (1977),tie,Eraserhead (1977) {tmdb-985} - [Bluray-1080p][FLAC 2.0][x264]-DON.mkv,3677,Eraserhead (1977) {tmdb-985} - [Bluray-1080p][FLAC 2.0][x264].mkv,3677,NO ACTION (keep both),,Both versions are equal quality (3677)
Chasing Mavericks (2012),ali,Chasing Mavericks (2012) {tmdb-82684} - [Bluray-1080p][EAC3 7.1][x264]-PTer.mkv,3910,,0,COPY Ali → Chris,,Only Ali has this file
Courage Under Fire (1996),ali,Courage Under Fire (1996) {tmdb-10684} - [Bluray-1080p][DTS-ES 5.1][x264]-GR.mkv,3895,Courage Under Fire (1996) {tmdb-10684} - [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,3769,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+126)
The Last House on the Left (2009),tie,The Last House on the Left (2009) {tmdb-18405} - {edition-Unrated} [Bluray-720p][AC3 5.1][x264]-MiMESiS.mkv,2787,The Last House on the Left (2009) {tmdb-18405} - {edition-Unrated} [Bluray-720p][AC3 5.1][x264]-MiMESiS.mkv,2787,NO ACTION (keep both),,Both versions are equal quality (2787)
The Santa Class (2024),chris,,0,The Santa Class (2024) {tmdb-1361225} - [WEBDL-1080p][EAC3 5.1][x264]-EDITH.mkv,3298,COPY Chris → Ali,,Only Chris has this file
Friends The Reunion (2021),tie,Friends The Reunion (2021) {tmdb-691179} - [HMAX][WEBDL-1080p][AC3 5.1][x264]-FLUX.mkv,3262,Friends The Reunion (2021) {tmdb-691179} - [HMAX][WEBDL-1080p][AC3 5.1][x264]-CMRG.mkv,3262,NO ACTION (keep both),,Both versions are equal quality (3262)
Hackers (1995),tie,Hackers (1995) {tmdb-10428} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-DON.mkv,4385,Hackers (1995) {tmdb-10428} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-DON.mkv,4385,NO ACTION (keep both),,Both versions are equal quality (4385)
Deathstalker (1983),chris,,0,Deathstalker (1983) {tmdb-15895} - [WEBDL-1080p][FLAC 2.0][x264].mkv,3181,COPY Chris → Ali,,Only Chris has this file
Shark Side of the Moon (2022),tie,Shark Side of the Moon (2022) {tmdb-1011679} - [WEBDL-1080p][AAC 2.0][x264]-PFa.mkv,3171,Shark Side of the Moon (2022) {tmdb-1011679} - [WEBDL-1080p][AAC 2.0][x264]-PFa.mkv,3171,NO ACTION (keep both),,Both versions are equal quality (3171)
Ill Be Right There (2024),ali,Ill Be Right There (2024) {tmdb-1109946} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-Kitsune.mkv,3320,,0,COPY Ali → Chris,,Only Ali has this file
Valiant One (2025),tie,Valiant One (2025) {tmdb-1009640} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-WeAreOne.mkv,3299,Valiant One (2025) {tmdb-1009640} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-WeAreOne.mkv,3299,NO ACTION (keep both),,Both versions are equal quality (3299)
Young Guns II (1990),tie,Young Guns II (1990) {tmdb-9086} - [Bluray-1080p Proper][AC3 5.1][x264]-BHDStudio.mp4,3762,Young Guns II (1990) {tmdb-9086} - [Bluray-1080p Proper][AC3 5.1][x264]-BHDStudio.mp4,3762,NO ACTION (keep both),,Both versions are equal quality (3762)
The Scalphunters (1968),chris,,0,The Scalphunters (1968) {tmdb-32068} - [WEBDL-1080p][DTS 2.0][x264].mkv,3369,COPY Chris → Ali,,Only Chris has this file
Red Planet (2000),chris,Red Planet (2000) {tmdb-8870} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,3871,Red Planet (2000) {tmdb-8870} - [Bluray-1080p][DTS 5.1][x264].mkv,3885,"MOVE Ali's to Deleted, COPY Chris's to Ali",/mnt/unraid/media/Deleted Movies,Chris's version is higher quality (+14)
Voyeurs (2020),chris,,0,Voyeurs (2020) {tmdb-865628} - [AMZN][WEBDL-1080p Proper][EAC3 5.1][h264]-FLUX.mkv,3331,COPY Chris → Ali,,Only Chris has this file
Rat Race (2001),ali,Rat Race (2001) {tmdb-9896} - [Bluray-1080p Proper][EAC3 5.1][x264]-iFT.mkv,3935,,0,COPY Ali → Chris,,Only Ali has this file
