title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
The 13th Warrior (1999),The 13th Warrior (1999) {tmdb-1911} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,/mnt/synology/rs-movies/The 13th Warrior (1999)/The 13th Warrior (1999) {tmdb-1911} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,The 13th Warrior (1999)/The 13th Warrior (1999) {tmdb-1911} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,14136783150,13.17,1080p,,,H.264,DTS,,BluRay,,,
Gunpowder Milkshake (2021),Gunpowder Milkshake (2021) {tmdb-574060} - [Bluray-1080p][EAC3 5.1][x264]-TayTO.mkv,/mnt/synology/rs-movies/Gunpowder Milkshake (2021)/Gunpowder Milkshake (2021) {tmdb-574060} - [Bluray-1080p][EAC3 5.1][x264]-TayTO.mkv,Gunpowder Milkshake (2021)/Gunpowder Milkshake (2021) {tmdb-574060} - [Bluray-1080p][EAC3 5.1][x264]-TayTO.mkv,13724009949,12.78,1080p,,,H.264,DD+,,BluRay,,,
Tread (2020),Tread (2020) {tmdb-576560} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-NTG.mkv,/mnt/synology/rs-movies/Tread (2020)/Tread (2020) {tmdb-576560} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-NTG.mkv,Tread (2020)/Tread (2020) {tmdb-576560} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-NTG.mkv,4597797210,4.28,1080p,,,H.264,DD+,,WEB-DL,,,
Purge (2013),Purge (2013) {tmdb-451940} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-CtrlHD.mkv,/mnt/synology/rs-movies/Purge (2013)/Purge (2013) {tmdb-451940} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-CtrlHD.mkv,Purge (2013)/Purge (2013) {tmdb-451940} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-CtrlHD.mkv,10899605870,10.15,1080p,,,H.265,DD+,HDR10,BluRay,,,
Final Girl (2015),Final Girl (2015) {tmdb-277558} - [PCOK][WEBDL-1080p][EAC3 5.1][x264]-BFM.mkv,/mnt/synology/rs-movies/Final Girl (2015)/Final Girl (2015) {tmdb-277558} - [PCOK][WEBDL-1080p][EAC3 5.1][x264]-BFM.mkv,Final Girl (2015)/Final Girl (2015) {tmdb-277558} - [PCOK][WEBDL-1080p][EAC3 5.1][x264]-BFM.mkv,5063218915,4.72,1080p,,,H.264,DD+,,WEB-DL,,,
Bad Luck Banging or Loony Porn (2021),Bad Luck Banging or Loony Porn (2021) {tmdb-790496} - [Bluray-1080p Proper][DTS-HD MA 5.1][x264]-usury.mkv,/mnt/synology/rs-movies/Bad Luck Banging or Loony Porn (2021)/Bad Luck Banging or Loony Porn (2021) {tmdb-790496} - [Bluray-1080p Proper][DTS-HD MA 5.1][x264]-usury.mkv,Bad Luck Banging or Loony Porn (2021)/Bad Luck Banging or Loony Porn (2021) {tmdb-790496} - [Bluray-1080p Proper][DTS-HD MA 5.1][x264]-usury.mkv,10967386492,10.21,1080p,,,H.264,DTS-HD,,BluRay,,,
Gary Owen #DoinWhatIDo (2019),Gary Owen #DoinWhatIDo (2019) {tmdb-625308} - [WEBDL-1080p][EAC3 5.1][h264]-OPUS.mkv,/mnt/synology/rs-movies/Gary Owen #DoinWhatIDo (2019)/Gary Owen #DoinWhatIDo (2019) {tmdb-625308} - [WEBDL-1080p][EAC3 5.1][h264]-OPUS.mkv,Gary Owen #DoinWhatIDo (2019)/Gary Owen #DoinWhatIDo (2019) {tmdb-625308} - [WEBDL-1080p][EAC3 5.1][h264]-OPUS.mkv,5629363488,5.24,1080p,,,H.264,DD+,,WEB-DL,,,
The Tailor of Panama (2001),The Tailor of Panama (2001) {tmdb-2575} - [Bluray-1080p][AC3 5.1][x264]-HDS.mkv,/mnt/synology/rs-movies/The Tailor of Panama (2001)/The Tailor of Panama (2001) {tmdb-2575} - [Bluray-1080p][AC3 5.1][x264]-HDS.mkv,The Tailor of Panama (2001)/The Tailor of Panama (2001) {tmdb-2575} - [Bluray-1080p][AC3 5.1][x264]-HDS.mkv,14284209384,13.3,1080p,,,H.264,DD,,BluRay,,,
Come True (2020),Come True (2020) {tmdb-515454} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,/mnt/synology/rs-movies/Come True (2020)/Come True (2020) {tmdb-515454} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,Come True (2020)/Come True (2020) {tmdb-515454} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,7141599782,6.65,1080p,,,H.264,DD+,,WEB-DL,,,
The Three Musketeers (1973),The Three Musketeers (2023) {tmdb-1073140} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-WiLF.mkv,/mnt/synology/rs-movies/The Three Musketeers (1973)/The Three Musketeers (2023) {tmdb-1073140} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-WiLF.mkv,The Three Musketeers (1973)/The Three Musketeers (2023) {tmdb-1073140} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-WiLF.mkv,5937097531,5.53,1080p,,,H.264,DD+,,WEB-DL,,,
