title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Luckiest Girl Alive (2022),Luckiest Girl Alive (2022) {tmdb-799546} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV][HEVC]-FLUX.mkv,/mnt/media/Movies/Luckiest Girl Alive (2022)/Luckiest Girl Alive (2022) {tmdb-799546} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV][HEVC]-FLUX.mkv,Luckiest Girl Alive (2022)/Luckiest Girl Alive (2022) {tmdb-799546} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV][HEVC]-FLUX.mkv,2721179089,2.53,1080p,,,H.265,DD+,DV,WEB-DL,,,
Treasure Planet (2002),Treasure Planet (2002) {tmdb-9016} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,/mnt/media/Movies/Treasure Planet (2002)/Treasure Planet (2002) {tmdb-9016} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,Treasure Planet (2002)/Treasure Planet (2002) {tmdb-9016} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,8281134451,7.71,1080p,,,H.264,DTS,,BluRay,,,
Fall (2022),Fall (2022) {tmdb-985939} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,/mnt/media/Movies/Fall (2022)/Fall (2022) {tmdb-985939} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,Fall (2022)/Fall (2022) {tmdb-985939} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,14826021047,13.81,1080p,,,H.264,DD+,,BluRay,,,
Gold (2016),Gold (2016) {tmdb-334524} - [Bluray-1080p][DTS 5.1][x264]-ZQ.mkv,/mnt/media/Movies/Gold (2016)/Gold (2016) {tmdb-334524} - [Bluray-1080p][DTS 5.1][x264]-ZQ.mkv,Gold (2016)/Gold (2016) {tmdb-334524} - [Bluray-1080p][DTS 5.1][x264]-ZQ.mkv,16476669879,15.35,1080p,,,H.264,DTS,,BluRay,,,
American Gigolo (1980),American Gigolo (1980) {tmdb-2768} - [Bluray-1080p][FLAC 1.0][DV HDR10][x265]-PTer.mkv,/mnt/media/Movies/American Gigolo (1980)/American Gigolo (1980) {tmdb-2768} - [Bluray-1080p][FLAC 1.0][DV HDR10][x265]-PTer.mkv,American Gigolo (1980)/American Gigolo (1980) {tmdb-2768} - [Bluray-1080p][FLAC 1.0][DV HDR10][x265]-PTer.mkv,23763779712,22.13,1080p,,,H.265,FLAC,DV HDR10,BluRay,,,
Bullet Train (2022),Bullet Train (2022) {tmdb-718930} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-SA89.mkv,/mnt/media/Movies/Bullet Train (2022)/Bullet Train (2022) {tmdb-718930} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-SA89.mkv,Bullet Train (2022)/Bullet Train (2022) {tmdb-718930} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-SA89.mkv,19181024869,17.86,1080p,,,H.265,DD+,DV HDR10,BluRay,,,
Cinderella II Dreams Come True (2002),Cinderella II Dreams Come True (2002) {tmdb-14128} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,/mnt/media/Movies/Cinderella II Dreams Come True (2002)/Cinderella II Dreams Come True (2002) {tmdb-14128} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,Cinderella II Dreams Come True (2002)/Cinderella II Dreams Come True (2002) {tmdb-14128} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,5424570524,5.05,1080p,,,H.264,DTS,,BluRay,,,
Russell Peters Deported (2020),Russell Peters Deported (2020) {tmdb-664473} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-iKA.mkv,/mnt/media/Movies/Russell Peters Deported (2020)/Russell Peters Deported (2020) {tmdb-664473} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-iKA.mkv,Russell Peters Deported (2020)/Russell Peters Deported (2020) {tmdb-664473} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-iKA.mkv,5269109884,4.91,1080p,,,H.264,DD+,,WEB-DL,,,
American Murderer (2022),American Murderer (2022) {tmdb-774301} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,/mnt/media/Movies/American Murderer (2022)/American Murderer (2022) {tmdb-774301} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,American Murderer (2022)/American Murderer (2022) {tmdb-774301} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,14563810155,13.56,1080p,,,H.264,DD+,,BluRay,,,
Mike and Dave Need Wedding Dates (2016),Mike and Dave Need Wedding Dates (2016) {tmdb-316023} - [Bluray-1080p][DTS 5.1][x264]-NCmt.mkv,/mnt/media/Movies/Mike and Dave Need Wedding Dates (2016)/Mike and Dave Need Wedding Dates (2016) {tmdb-316023} - [Bluray-1080p][DTS 5.1][x264]-NCmt.mkv,Mike and Dave Need Wedding Dates (2016)/Mike and Dave Need Wedding Dates (2016) {tmdb-316023} - [Bluray-1080p][DTS 5.1][x264]-NCmt.mkv,11143804620,10.38,1080p,,,H.264,DTS,,BluRay,,,
