title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Mission Impossible Dead Reckoning Part One (2023),Mission Impossible Dead Reckoning Part One (2023) {tmdb-575264} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/Mission Impossible Dead Reckoning Part One (2023)/Mission Impossible Dead Reckoning Part One (2023) {tmdb-575264} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,Mission Impossible Dead Reckoning Part One (2023)/Mission Impossible Dead Reckoning Part One (2023) {tmdb-575264} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,50455600294,46.99,2160p,,,H.265,TrueHD,DV HDR10,BluRay,,,
Mortal Kombat (2021),Mortal Kombat (2021) {tmdb-460465} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-LEGi0N.mkv,/mnt/synology/rs-4kmedia/4kmovies/Mortal Kombat (2021)/Mortal Kombat (2021) {tmdb-460465} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-LEGi0N.mkv,Mortal Kombat (2021)/Mortal Kombat (2021) {tmdb-460465} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-LEGi0N.mkv,29145926397,27.14,2160p,,,H.265,TrueHD,DV HDR10,BluRay,,,
Napoleon (2023),Napoleon (2023) {tmdb-753342} - {edition-Directors Cut} [ATVP][WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/Napoleon (2023)/Napoleon (2023) {tmdb-753342} - {edition-Directors Cut} [ATVP][WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,Napoleon (2023)/Napoleon (2023) {tmdb-753342} - {edition-Directors Cut} [ATVP][WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,37161578663,34.61,2160p,,,H.265,DD+,DV HDR10,WEB-DL,,,
Oblivion (2013),Oblivion (2013) {tmdb-75612} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Oblivion (2013)/Oblivion (2013) {tmdb-75612} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,Oblivion (2013)/Oblivion (2013) {tmdb-75612} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,56243058643,52.38,2160p,,,H.265,TrueHD,HDR10,Remux,,,
Oppenheimer (2023),Oppenheimer (2023) {tmdb-872585} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-MainFrame.mkv,/mnt/synology/rs-4kmedia/4kmovies/Oppenheimer (2023)/Oppenheimer (2023) {tmdb-872585} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-MainFrame.mkv,Oppenheimer (2023)/Oppenheimer (2023) {tmdb-872585} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-MainFrame.mkv,42033663382,39.15,2160p,,,H.265,DTS-HD,DV HDR10,BluRay,,,
Passengers (2016),Passengers (2016) {tmdb-274870} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-EPSiLON.mkv,/mnt/synology/rs-4kmedia/4kmovies/Passengers (2016)/Passengers (2016) {tmdb-274870} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-EPSiLON.mkv,Passengers (2016)/Passengers (2016) {tmdb-274870} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-EPSiLON.mkv,50625913828,47.15,2160p,,,H.265,TrueHD,HDR10,Remux,,,
Pirates of the Caribbean The Curse of the Black Pearl (2003),Pirates of the Caribbean The Curse of the Black Pearl (2003) {tmdb-22} - [WEBRip-2160p][DTS-HD MA 5.1][HDR10][x265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Pirates of the Caribbean The Curse of the Black Pearl (2003)/Pirates of the Caribbean The Curse of the Black Pearl (2003) {tmdb-22} - [WEBRip-2160p][DTS-HD MA 5.1][HDR10][x265].mkv,Pirates of the Caribbean The Curse of the Black Pearl (2003)/Pirates of the Caribbean The Curse of the Black Pearl (2003) {tmdb-22} - [WEBRip-2160p][DTS-HD MA 5.1][HDR10][x265].mkv,20780951900,19.35,2160p,,,H.265,DTS-HD,HDR10,WEBRip,,,
Pitch Black (2000),Pitch Black (2000) {tmdb-2787} - {edition-Directors Cut} [Bluray-2160p Proper][DTS-HD MA 5.1][HDR10][x265]-CtrlHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Pitch Black (2000)/Pitch Black (2000) {tmdb-2787} - {edition-Directors Cut} [Bluray-2160p Proper][DTS-HD MA 5.1][HDR10][x265]-CtrlHD.mkv,Pitch Black (2000)/Pitch Black (2000) {tmdb-2787} - {edition-Directors Cut} [Bluray-2160p Proper][DTS-HD MA 5.1][HDR10][x265]-CtrlHD.mkv,49318357544,45.93,2160p,,,H.265,DTS-HD,HDR10,BluRay,,,
Prey (2022),Prey (2022) {tmdb-766507} - [WEBDL-2160p][EAC3 Atmos 5.1][x265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Prey (2022)/Prey (2022) {tmdb-766507} - [WEBDL-2160p][EAC3 Atmos 5.1][x265].mkv,Prey (2022)/Prey (2022) {tmdb-766507} - [WEBDL-2160p][EAC3 Atmos 5.1][x265].mkv,15299337463,14.25,2160p,,,H.265,DD+,,WEB-DL,,,
Raiders of the Lost Ark (1981),Raiders of the Lost Ark (1981) {tmdb-85} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-4K4U.mkv,/mnt/synology/rs-4kmedia/4kmovies/Raiders of the Lost Ark (1981)/Raiders of the Lost Ark (1981) {tmdb-85} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-4K4U.mkv,Raiders of the Lost Ark (1981)/Raiders of the Lost Ark (1981) {tmdb-85} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-4K4U.mkv,17739982173,16.52,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
