title,filename,path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
GhostBusters (1984),Ghostbusters (1984) {imdb-tt0087332} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-DON.mkv,/mnt/synology/rs-movies/GhostBusters (1984)/Ghostbusters (1984) {imdb-tt0087332} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-DON.mkv,25808525982,24.04,1080p,1920.0,804.0,H.265,DD+,DV HDR10,BluRay,,105.1,32.73
Dave Chappelle The Dreamer (2023),Dave Chappelle The Dreamer (2023) {imdb-tt18278698} [WEBDL-1080p][EAC3 Atmos 5.1][x264]-ETHEL.mkv,/mnt/synology/rs-movies/Dave Chappelle The Dreamer (2023)/Dave Chappelle The Dreamer (2023) {imdb-tt18278698} [WEBDL-1080p][EAC3 Atmos 5.1][x264]-ETHEL.mkv,2741323153,2.55,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,56.8,6.43
Sanctum (2011),Sanctum (2011) {imdb-tt0881320} [Bluray-720p][AC3 5.1][x264].mkv,/mnt/synology/rs-movies/Sanctum (2011)/Sanctum (2011) {imdb-tt0881320} [Bluray-720p][AC3 5.1][x264].mkv,2466539361,2.3,720p,1280.0,720.0,H.264,DD,,BluRay,,108.8,3.02
Erin Brockovich (2000),Erin Brockovich (2000) {imdb-tt0195685} [Bluray-1080p][DTS 5.1][x264]-LoRD.mkv,/mnt/synology/rs-movies/Erin Brockovich (2000)/Erin Brockovich (2000) {imdb-tt0195685} [Bluray-1080p][DTS 5.1][x264]-LoRD.mkv,17914567683,16.68,1080p,1920.0,1040.0,H.264,DTS,,BluRay,,131.3,18.19
Anaconda (1997),Anaconda (1997) {imdb-tt0118615} [Bluray-720p][DTS 5.1][x264]-LEGi0N.mkv,/mnt/synology/rs-movies/Anaconda (1997)/Anaconda (1997) {imdb-tt0118615} [Bluray-720p][DTS 5.1][x264]-LEGi0N.mkv,4702693487,4.38,720p,1280.0,534.0,H.264,DTS,,BluRay,,89.3,7.02
"Definitely, Maybe (2008)",Definitely.Maybe.2008.1080p.BluRay.x264-EbP.mkv,"/mnt/synology/rs-movies/Definitely, Maybe (2008)/Definitely.Maybe.2008.1080p.BluRay.x264-EbP.mkv",11183626853,10.42,1080p,1920.0,816.0,H.264,,,BluRay,,111.7,13.35
The Fast and the Furious (2001),The Fast and the Furious (2001) {imdb-tt0232500} [Bluray-1080p][HDR10][EAC3 7.1][x265]-NCmt.mkv,/mnt/synology/rs-movies/The Fast and the Furious (2001)/The Fast and the Furious (2001) {imdb-tt0232500} [Bluray-1080p][HDR10][EAC3 7.1][x265]-NCmt.mkv,14597145120,13.59,1080p,1920.0,818.0,H.265,DD+,HDR10,BluRay,,106.9,18.21
Star Trek V The Final Frontier (1989),Star Trek V The Final Frontier (1989) {imdb-tt0098382} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,/mnt/synology/rs-movies/Star Trek V The Final Frontier (1989)/Star Trek V The Final Frontier (1989) {imdb-tt0098382} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,10137608714,9.44,1080p,1920.0,800.0,H.264,DD+,,BluRay,,106.6,12.69
Critters 2 (1988),Critters 2 (1988) {imdb-tt0094919} [Bluray-1080p][AAC 2.0][x264].mkv,/mnt/synology/rs-movies/Critters 2 (1988)/Critters 2 (1988) {imdb-tt0094919} [Bluray-1080p][AAC 2.0][x264].mkv,7062655365,6.58,1080p,1920.0,1036.0,H.264,AAC,,BluRay,,85.7,10.99
Dream House (2011),Dream House (2011) {imdb-tt1462041} {edition-Open Matte} [WEBDL-1080p][EAC3 5.1][h264].mkv,/mnt/synology/rs-movies/Dream House (2011)/Dream House (2011) {imdb-tt1462041} {edition-Open Matte} [WEBDL-1080p][EAC3 5.1][h264].mkv,5072051724,4.72,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,91.8,7.37
