title,show_folder,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps,tvdb_id,tmdb_id,imdb_id,year,season,episode,episode_title
The Marvels (2023),The Marvels (2023),The Marvels (2023) {tmdb-609681} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Marvels (2023)/The Marvels (2023) {tmdb-609681} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,The Marvels (2023)/The Marvels (2023) {tmdb-609681} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,23484005229,21.87,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,104.7,29.89,,609681,,2023,,,
John Wick Chapter 4 (2023),John Wick Chapter 4 (2023),John Wick Chapter 4 (2023) {tmdb-603692} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/John Wick Chapter 4 (2023)/John Wick Chapter 4 (2023) {tmdb-603692} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,John Wick Chapter 4 (2023)/John Wick Chapter 4 (2023) {tmdb-603692} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,47347063614,44.1,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,169.3,37.29,,603692,,2023,,,
300 (2007),300 (2007),300 (2007) {tmdb-1271} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/300 (2007)/300 (2007) {tmdb-1271} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,300 (2007)/300 (2007) {tmdb-1271} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,56679095113,52.79,2160p,3840,2160,H.265,TrueHD,HDR10,Remux,,116.6,64.79,,1271,,2007,,,
Deadpool and Wolverine (2024),Deadpool and Wolverine (2024),Deadpool and Wolverine (2024) {tmdb-533535} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/Deadpool and Wolverine (2024)/Deadpool and Wolverine (2024) {tmdb-533535} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,Deadpool and Wolverine (2024)/Deadpool and Wolverine (2024) {tmdb-533535} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,24136164635,22.48,2160p,3840,1608,H.265,DD+,DV HDR10,WEB-DL,,127.8,25.18,,533535,,2024,,,
Bram Stokers Dracula (1992),Bram Stokers Dracula (1992),Bram Stokers Dracula (1992) {tmdb-6114} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-BluDragon.mkv,/mnt/synology/rs-4kmedia/4kmovies/Bram Stokers Dracula (1992)/Bram Stokers Dracula (1992) {tmdb-6114} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-BluDragon.mkv,Bram Stokers Dracula (1992)/Bram Stokers Dracula (1992) {tmdb-6114} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-BluDragon.mkv,53834216542,50.14,2160p,3840,2160,H.265,TrueHD,HDR10,Remux,,127.4,56.36,,6114,,1992,,,
Fast and Furious 6 (2013),Fast and Furious 6 (2013),Fast and Furious 6 (2013) {tmdb-82992} - [Remux-2160p Proper][DTS-HD MA 5.1][HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Fast and Furious 6 (2013)/Fast and Furious 6 (2013) {tmdb-82992} - [Remux-2160p Proper][DTS-HD MA 5.1][HDR10][h265].mkv,Fast and Furious 6 (2013)/Fast and Furious 6 (2013) {tmdb-82992} - [Remux-2160p Proper][DTS-HD MA 5.1][HDR10][h265].mkv,46772337668,43.56,2160p,3840,2160,H.265,DTS-HD,HDR10,Remux,,131.0,47.59,,82992,,2013,,,
King Kong vs. Godzilla (1962),King Kong vs. Godzilla (1962),King Kong vs. Godzilla (1962) {tmdb-1680} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HDChina.mkv,/mnt/synology/rs-4kmedia/4kmovies/King Kong vs. Godzilla (1962)/King Kong vs. Godzilla (1962) {tmdb-1680} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HDChina.mkv,King Kong vs. Godzilla (1962)/King Kong vs. Godzilla (1962) {tmdb-1680} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HDChina.mkv,29236595633,27.23,2160p,3840,1608,H.265,TrueHD,HDR10,BluRay,,113.1,34.45,,1680,,1962,,,
The Hunger Games Mockingjay Part 1 (2014),The Hunger Games Mockingjay Part 1 (2014),The Hunger Games Mockingjay Part 1 (2014) {tmdb-131631} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunger Games Mockingjay Part 1 (2014)/The Hunger Games Mockingjay Part 1 (2014) {tmdb-131631} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,The Hunger Games Mockingjay Part 1 (2014)/The Hunger Games Mockingjay Part 1 (2014) {tmdb-131631} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,66459734633,61.9,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,123.3,71.89,,131631,,2014,,,
The Hunger Games Mockingjay Part 2 (2015),The Hunger Games Mockingjay Part 2 (2015),The Hunger Games Mockingjay Part 2 (2015) {tmdb-131634} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunger Games Mockingjay Part 2 (2015)/The Hunger Games Mockingjay Part 2 (2015) {tmdb-131634} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,The Hunger Games Mockingjay Part 2 (2015)/The Hunger Games Mockingjay Part 2 (2015) {tmdb-131634} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,76169855199,70.94,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,137.1,74.07,,131634,,2015,,,
V for Vendetta (2006),V for Vendetta (2006),V for Vendetta (2006) {tmdb-752} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/V for Vendetta (2006)/V for Vendetta (2006) {tmdb-752} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,V for Vendetta (2006)/V for Vendetta (2006) {tmdb-752} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,70846905011,65.98,2160p,3840,2160,H.265,TrueHD,HDR10,Remux,,132.6,71.26,,752,,2006,,,
The Tank (2025),The Tank (2025),The Tank (2025) {tmdb-1252037} - [AMZN][WEBDL-2160p][EAC3 5.1][DV HDR10Plus][h265]-ZeroTwo.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Tank (2025)/The Tank (2025) {tmdb-1252037} - [AMZN][WEBDL-2160p][EAC3 5.1][DV HDR10Plus][h265]-ZeroTwo.mkv,The Tank (2025)/The Tank (2025) {tmdb-1252037} - [AMZN][WEBDL-2160p][EAC3 5.1][DV HDR10Plus][h265]-ZeroTwo.mkv,14148374242,13.18,2160p,3840,1744,H.265,DD+,DV HDR10,WEB-DL,,117.9,15.99,,1252037,,2025,,,
The Immaculate Room (2022),The Immaculate Room (2022),The Immaculate Room (2022) {tmdb-806929} - [WEBDL-2160p][AC3 5.1][HEVC]-CMRG.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Immaculate Room (2022)/The Immaculate Room (2022) {tmdb-806929} - [WEBDL-2160p][AC3 5.1][HEVC]-CMRG.mkv,The Immaculate Room (2022)/The Immaculate Room (2022) {tmdb-806929} - [WEBDL-2160p][AC3 5.1][HEVC]-CMRG.mkv,8489545107,7.91,2160p,3836,1600,H.265,DD,,WEB-DL,,92.2,12.28,,806929,,2022,,,
The Age of Disclosure (2025),The Age of Disclosure (2025),The Age of Disclosure (2025) {tmdb-1422166} - [AMZN][WEBDL-2160p][EAC3 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Age of Disclosure (2025)/The Age of Disclosure (2025) {tmdb-1422166} - [AMZN][WEBDL-2160p][EAC3 5.1][h265]-FLUX.mkv,The Age of Disclosure (2025)/The Age of Disclosure (2025) {tmdb-1422166} - [AMZN][WEBDL-2160p][EAC3 5.1][h265]-FLUX.mkv,12757217295,11.88,2160p,3840,1920,H.265,DD+,,WEB-DL,,110.2,15.44,,1422166,,2025,,,
Superman Batman Public Enemies (2009),Superman Batman Public Enemies (2009),Superman Batman Public Enemies (2009) {tmdb-22855} - [Bluray-1080p][AC3 2.0][x264]-D4KiD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Superman Batman Public Enemies (2009)/Superman Batman Public Enemies (2009) {tmdb-22855} - [Bluray-1080p][AC3 2.0][x264]-D4KiD.mkv,Superman Batman Public Enemies (2009)/Superman Batman Public Enemies (2009) {tmdb-22855} - [Bluray-1080p][AC3 2.0][x264]-D4KiD.mkv,4695837368,4.37,2160p,1920,1080,H.264,DD,,BluRay,,67.0,9.34,,22855,,2009,,,
The Shawshank Redemption (1994),The Shawshank Redemption (1994),The Shawshank Redemption (1994) {tmdb-278} - [MA][WEBDL-2160p][DTS-HD MA 5.1][DV HDR10][h265]-TheFarm.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Shawshank Redemption (1994)/The Shawshank Redemption (1994) {tmdb-278} - [MA][WEBDL-2160p][DTS-HD MA 5.1][DV HDR10][h265]-TheFarm.mkv,The Shawshank Redemption (1994)/The Shawshank Redemption (1994) {tmdb-278} - [MA][WEBDL-2160p][DTS-HD MA 5.1][DV HDR10][h265]-TheFarm.mkv,31168071031,29.03,2160p,3840,2160,H.265,DTS-HD,DV HDR10,WEB-DL,,142.5,29.16,,278,,1994,,,
The Fifth Element (1997),The Fifth Element (1997),The Fifth Element (1997) {tmdb-18} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Fifth Element (1997)/The Fifth Element (1997) {tmdb-18} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,The Fifth Element (1997)/The Fifth Element (1997) {tmdb-18} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,60818460405,56.64,2160p,3840,1604,H.265,TrueHD,DV HDR10,BluRay,,126.5,64.11,,18,,1997,,,
Pacific Rim (2013),Pacific Rim (2013),Pacific Rim (2013) {tmdb-68726} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,/mnt/synology/rs-4kmedia/4kmovies/Pacific Rim (2013)/Pacific Rim (2013) {tmdb-68726} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,Pacific Rim (2013)/Pacific Rim (2013) {tmdb-68726} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,16237278138,15.12,2160p,3840,2160,H.265,DD,HDR10,BluRay,,131.3,16.49,,68726,,2013,,,
Star Trek II The Wrath of Khan (1982),Star Trek II The Wrath of Khan (1982),Star Trek II The Wrath of Khan (1982) {tmdb-154} - {edition-Director's Cut} [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,/mnt/synology/rs-4kmedia/4kmovies/Star Trek II The Wrath of Khan (1982)/Star Trek II The Wrath of Khan (1982) {tmdb-154} - {edition-Director's Cut} [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,Star Trek II The Wrath of Khan (1982)/Star Trek II The Wrath of Khan (1982) {tmdb-154} - {edition-Director's Cut} [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,14451945376,13.46,2160p,3840,1604,H.265,DD,HDR10,BluRay,,116.5,16.54,,154,,1982,,,
Star Trek III The Search for Spock (1984),Star Trek III The Search for Spock (1984),Star Trek III The Search for Spock (1984) {tmdb-157} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,/mnt/synology/rs-4kmedia/4kmovies/Star Trek III The Search for Spock (1984)/Star Trek III The Search for Spock (1984) {tmdb-157} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,Star Trek III The Search for Spock (1984)/Star Trek III The Search for Spock (1984) {tmdb-157} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,13058655948,12.16,2160p,3840,1632,H.265,DD,HDR10,BluRay,,105.2,16.55,,157,,1984,,,
Star Trek IV The Voyage Home (1986),Star Trek IV The Voyage Home (1986),Star Trek IV The Voyage Home (1986) {tmdb-168} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,/mnt/synology/rs-4kmedia/4kmovies/Star Trek IV The Voyage Home (1986)/Star Trek IV The Voyage Home (1986) {tmdb-168} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,Star Trek IV The Voyage Home (1986)/Star Trek IV The Voyage Home (1986) {tmdb-168} - [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,14712828878,13.7,2160p,3840,1632,H.265,DD,HDR10,BluRay,,118.9,16.51,,168,,1986,,,
The Suicide Squad (2021),The Suicide Squad (2021),The Suicide Squad (2021) {tmdb-436969} - [Bluray-2160p][AC3 5.1][HDR10Plus][x265]-BHDStudio.mp4,/mnt/synology/rs-4kmedia/4kmovies/The Suicide Squad (2021)/The Suicide Squad (2021) {tmdb-436969} - [Bluray-2160p][AC3 5.1][HDR10Plus][x265]-BHDStudio.mp4,The Suicide Squad (2021)/The Suicide Squad (2021) {tmdb-436969} - [Bluray-2160p][AC3 5.1][HDR10Plus][x265]-BHDStudio.mp4,16431744890,15.3,2160p,3840,2024,H.265,DD,HDR10+,BluRay,,132.1,16.58,,436969,,2021,,,
