title,show_folder,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps,tvdb_id,tmdb_id,imdb_id,year,season,episode,episode_title
The Hobbit An Unexpected Journey (2012),The Hobbit An Unexpected Journey (2012),The Hobbit An Unexpected Journey (2012) {tmdb-49051} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hobbit An Unexpected Journey (2012)/The Hobbit An Unexpected Journey (2012) {tmdb-49051} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,The Hobbit An Unexpected Journey (2012)/The Hobbit An Unexpected Journey (2012) {tmdb-49051} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,74566778707,69.45,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,182.5,54.47,,49051,,2012,,,
The Hobbit The Battle of the Five Armies (2014),The Hobbit The Battle of the Five Armies (2014),The Hobbit The Battle of the Five Armies (2014) {tmdb-122917} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hobbit The Battle of the Five Armies (2014)/The Hobbit The Battle of the Five Armies (2014) {tmdb-122917} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,The Hobbit The Battle of the Five Armies (2014)/The Hobbit The Battle of the Five Armies (2014) {tmdb-122917} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,64520564342,60.09,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,164.1,52.44,,122917,,2014,,,
The Hobbit The Desolation of Smaug (2013),The Hobbit The Desolation of Smaug (2013),The Hobbit The Desolation of Smaug (2013) {tmdb-57158} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hobbit The Desolation of Smaug (2013)/The Hobbit The Desolation of Smaug (2013) {tmdb-57158} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,The Hobbit The Desolation of Smaug (2013)/The Hobbit The Desolation of Smaug (2013) {tmdb-57158} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,84661155918,78.85,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,186.6,60.5,,57158,,2013,,,
The Hunger Games (2012),The Hunger Games (2012),The Hunger Games (2012) {tmdb-70160} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunger Games (2012)/The Hunger Games (2012) {tmdb-70160} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,The Hunger Games (2012)/The Hunger Games (2012) {tmdb-70160} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,75557146736,70.37,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,142.6,70.63,,70160,,2012,,,
The Hunger Games Catching Fire (2013),The Hunger Games Catching Fire (2013),The Hunger Games Catching Fire (2013) {tmdb-101299} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunger Games Catching Fire (2013)/The Hunger Games Catching Fire (2013) {tmdb-101299} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,The Hunger Games Catching Fire (2013)/The Hunger Games Catching Fire (2013) {tmdb-101299} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,78025518110,72.67,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,146.6,70.95,,101299,,2013,,,
The Hunt for Red October (1990),The Hunt for Red October (1990),The Hunt for Red October (1990) {tmdb-1669} - [Bluray-2160p][TrueHD 5.1][HDR10][x265]-HQMUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunt for Red October (1990)/The Hunt for Red October (1990) {tmdb-1669} - [Bluray-2160p][TrueHD 5.1][HDR10][x265]-HQMUX.mkv,The Hunt for Red October (1990)/The Hunt for Red October (1990) {tmdb-1669} - [Bluray-2160p][TrueHD 5.1][HDR10][x265]-HQMUX.mkv,24363997863,22.69,2160p,3840,1632,H.265,TrueHD,HDR10,BluRay,,135.1,24.04,,1669,,1990,,,
The Lord of the Rings The Fellowship of the Ring (2001),The Lord of the Rings The Fellowship of the Ring (2001),The Lord of the Rings The Fellowship of the Ring (2001) {tmdb-120} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Lord of the Rings The Fellowship of the Ring (2001)/The Lord of the Rings The Fellowship of the Ring (2001) {tmdb-120} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,The Lord of the Rings The Fellowship of the Ring (2001)/The Lord of the Rings The Fellowship of the Ring (2001) {tmdb-120} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,119919536474,111.68,2160p,3840,2160,H.265,TrueHD,HDR10,Remux,,228.2,70.07,,120,,2001,,,
The Lord of the Rings The Return of the King (2003),The Lord of the Rings The Return of the King (2003),The Lord of the Rings The Return of the King (2003) {tmdb-122} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Lord of the Rings The Return of the King (2003)/The Lord of the Rings The Return of the King (2003) {tmdb-122} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,The Lord of the Rings The Return of the King (2003)/The Lord of the Rings The Return of the King (2003) {tmdb-122} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,133437126066,124.27,2160p,3840,2160,H.265,TrueHD,HDR10,Remux,,263.2,67.6,,122,,2003,,,
The Lord of the Rings The Two Towers (2002),The Lord of the Rings The Two Towers (2002),The Lord of the Rings The Two Towers (2002) {tmdb-121} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Lord of the Rings The Two Towers (2002)/The Lord of the Rings The Two Towers (2002) {tmdb-121} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,The Lord of the Rings The Two Towers (2002)/The Lord of the Rings The Two Towers (2002) {tmdb-121} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,113736685889,105.93,2160p,3840,2160,H.265,TrueHD,HDR10,Remux,,235.4,64.42,,121,,2002,,,
The Lost World Jurassic Park (1997),The Lost World Jurassic Park (1997),The Lost World Jurassic Park (1997) {tmdb-330} - [Bluray-2160p][TrueHD Atmos 7.1][DV][x265]-HDH.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Lost World Jurassic Park (1997)/The Lost World Jurassic Park (1997) {tmdb-330} - [Bluray-2160p][TrueHD Atmos 7.1][DV][x265]-HDH.mkv,The Lost World Jurassic Park (1997)/The Lost World Jurassic Park (1997) {tmdb-330} - [Bluray-2160p][TrueHD Atmos 7.1][DV][x265]-HDH.mkv,26266445725,24.46,2160p,3840,2160,H.265,TrueHD,DV,BluRay,,128.7,27.22,,330,,1997,,,
The Martian (2015),The Martian (2015),The Martian (2015) {tmdb-286217} - {edition-Extended} [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-TERMiNAL.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Martian (2015)/The Martian (2015) {tmdb-286217} - {edition-Extended} [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-TERMiNAL.mkv,The Martian (2015)/The Martian (2015) {tmdb-286217} - {edition-Extended} [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-TERMiNAL.mkv,21845823720,20.35,2160p,3840,1600,H.265,TrueHD,HDR10,BluRay,,151.4,19.24,,286217,,2015,,,
The Matrix (1999),The Matrix (1999),The Matrix (1999) {tmdb-603} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Matrix (1999)/The Matrix (1999) {tmdb-603} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,The Matrix (1999)/The Matrix (1999) {tmdb-603} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,56310151835,52.44,2160p,3840,2160,H.265,TrueHD,HDR10,Remux,,136.3,55.08,,603,,1999,,,
The Matrix Reloaded (2003),The Matrix Reloaded (2003),The Matrix Reloaded (2003) {tmdb-604} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-CtrlHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Matrix Reloaded (2003)/The Matrix Reloaded (2003) {tmdb-604} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-CtrlHD.mkv,The Matrix Reloaded (2003)/The Matrix Reloaded (2003) {tmdb-604} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-CtrlHD.mkv,49386043158,45.99,2160p,3840,1600,H.265,TrueHD,HDR10,BluRay,,138.3,47.62,,604,,2003,,,
The Matrix Resurrections (2021),The Matrix Resurrections (2021),The Matrix Resurrections (2021) {tmdb-624860} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10][x265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Matrix Resurrections (2021)/The Matrix Resurrections (2021) {tmdb-624860} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10][x265].mkv,The Matrix Resurrections (2021)/The Matrix Resurrections (2021) {tmdb-624860} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10][x265].mkv,20659761079,19.24,2160p,3840,2160,H.265,DD+,DV HDR10,WEB-DL,,147.9,18.62,,624860,,2021,,,
The Matrix Revolutions (2003),The Matrix Revolutions (2003),The Matrix Revolutions (2003) {tmdb-605} - [Bluray-2160p][EAC3 5.1][HDR10][x265]-d3g.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Matrix Revolutions (2003)/The Matrix Revolutions (2003) {tmdb-605} - [Bluray-2160p][EAC3 5.1][HDR10][x265]-d3g.mkv,The Matrix Revolutions (2003)/The Matrix Revolutions (2003) {tmdb-605} - [Bluray-2160p][EAC3 5.1][HDR10][x265]-d3g.mkv,30715136062,28.61,2160p,3840,1600,H.265,DD+,HDR10,BluRay,,129.3,31.68,,605,,2003,,,
