title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Saving Private Ryan (1998),Saving.Private.Ryan.1998.2160p.UHD.BluRay.X265-IAMABLE.mkv,/mnt/synology/rs-4kmedia/4kmovies/Saving Private Ryan (1998)/Saving.Private.Ryan.1998.2160p.UHD.BluRay.X265-IAMABLE.mkv,Saving Private Ryan (1998)/Saving.Private.Ryan.1998.2160p.UHD.BluRay.X265-IAMABLE.mkv,44125238267,41.09,2160p,3840,2160,H.265,,,BluRay,,169.4,34.72
Shazam! (2019),Shazam! (2019) {imdb-tt0448115} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/Shazam! (2019)/Shazam! (2019) {imdb-tt0448115} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,Shazam! (2019)/Shazam! (2019) {imdb-tt0448115} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,53068842385,49.42,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,131.7,53.72
Shazam! Fury of the Gods (2023),Shazam! Fury of the Gods (2023) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/Shazam! Fury of the Gods (2023)/Shazam! Fury of the Gods (2023) Remux-2160p.mkv,Shazam! Fury of the Gods (2023)/Shazam! Fury of the Gods (2023) Remux-2160p.mkv,61291314225,57.08,2160p,3840,2160,H.265,,DV,Remux,,130.3,62.74
Solo A Star Wars Story (2018),Solo A Star Wars Story (2018) {imdb-tt3778644} [Bluray-2160p Proper][HDR10][TrueHD Atmos 7.1][x265]-TnP.mkv,/mnt/synology/rs-4kmedia/4kmovies/Solo A Star Wars Story (2018)/Solo A Star Wars Story (2018) {imdb-tt3778644} [Bluray-2160p Proper][HDR10][TrueHD Atmos 7.1][x265]-TnP.mkv,Solo A Star Wars Story (2018)/Solo A Star Wars Story (2018) {imdb-tt3778644} [Bluray-2160p Proper][HDR10][TrueHD Atmos 7.1][x265]-TnP.mkv,39940081775,37.2,2160p,3840,1608,H.265,TrueHD,HDR10,BluRay,,134.8,39.52
Spider-Man No Way Home (2021),Spider-Man No Way Home (2021) WEBDL-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/Spider-Man No Way Home (2021)/Spider-Man No Way Home (2021) WEBDL-2160p.mkv,Spider-Man No Way Home (2021)/Spider-Man No Way Home (2021) WEBDL-2160p.mkv,23059699250,21.48,2160p,3840,1596,H.265,,,WEB-DL,,148.5,20.71
Star Trek (2009),Star.Trek.2009.2160p.UHD.BluRay.X265-IAMABLE.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek (2009)/Star.Trek.2009.2160p.UHD.BluRay.X265-IAMABLE.mkv,Star Trek (2009)/Star.Trek.2009.2160p.UHD.BluRay.X265-IAMABLE.mkv,40736555712,37.94,2160p,3840,1600,H.265,,,BluRay,,126.8,42.82
Star Trek First Contact (1996),Star.Trek.VIII.First.Contact.1996.2160p.WEB-DL.DDP5.1.H.265-ABBiE.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek First Contact (1996)/Star.Trek.VIII.First.Contact.1996.2160p.WEB-DL.DDP5.1.H.265-ABBiE.mkv,Star Trek First Contact (1996)/Star.Trek.VIII.First.Contact.1996.2160p.WEB-DL.DDP5.1.H.265-ABBiE.mkv,11068005896,10.31,2160p,3840,2160,H.265,DD,,WEB-DL,,110.7,13.33
Star Trek Into Darkness (2013),Star.Trek.Into.Darkness.2013.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek Into Darkness (2013)/Star.Trek.Into.Darkness.2013.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,Star Trek Into Darkness (2013)/Star.Trek.Into.Darkness.2013.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,55009881987,51.23,2160p,3840,2160,H.265,,HDR,Remux,,132.1,55.52
Star Trek The Motion Picture (1979),Star Trek The Motion Picture (1979) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek The Motion Picture (1979)/Star Trek The Motion Picture (1979) Remux-2160p.mkv,Star Trek The Motion Picture (1979)/Star Trek The Motion Picture (1979) Remux-2160p.mkv,81043007023,75.48,2160p,3840,2160,H.265,,DV,Remux,,136.7,79.04
Star Trek V The Final Frontier (1989),Star Trek V The Final Frontier (1989) Bluray-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek V The Final Frontier (1989)/Star Trek V The Final Frontier (1989) Bluray-2160p.mkv,Star Trek V The Final Frontier (1989)/Star Trek V The Final Frontier (1989) Bluray-2160p.mkv,25687621064,23.92,2160p,3840,1600,H.265,,,BluRay,,106.5,32.16
