Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
The Wizard of Oz (1939),ali,The Wizard of Oz (1939) {tmdb-630} - [Remux-2160p][DTS-HD MA 5.1][DV HDR10Plus][HEVC]-FraMeSToR.mkv,7600,,0,COPY Ali → Chris,,Only Ali has this file
The Greatest Showman (2017),ali,The Greatest Showman (2017) {tmdb-316029} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
The Martian (2015),ali,The Martian (2015) {tmdb-286217} - {edition-Extended Cut} [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-CtrlHD.mkv,7100,,0,COPY Ali → Chris,,Only Ali has this file
Blade Runner (1982),ali,Blade Runner (1982) {tmdb-78} - {edition-Final Cut} [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,7600,,0,COPY Ali → Chris,,Only Ali has this file
Pitch Black (2000),ali,Pitch Black (2000) {tmdb-2787} - {edition-Director's Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,,0,COPY Ali → Chris,,Only Ali has this file
Zack Snyders Justice League (2021),ali,Zack Snyders Justice League (2021) {tmdb-791373} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Master and Commander The Far Side of the World (2003),ali,Master and Commander The Far Side of the World (2003) {tmdb-8619} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Total Recall (1990),ali,Total Recall (1990) {tmdb-861} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,,0,COPY Ali → Chris,,Only Ali has this file
Guardians of the Galaxy Vol. 2 (2017),ali,Guardians of the Galaxy Vol. 2 (2017) {tmdb-283995} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Wicked (2024),ali,Wicked (2024) {tmdb-402431} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-MainFrame.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Black Panther Wakanda Forever (2022),ali,Black Panther Wakanda Forever (2022) {tmdb-505642} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Dracula (1992),ali,Bram Stokers Dracula (1992) {tmdb-6114} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,,0,COPY Ali → Chris,,Only Ali has this file
Pulp Fiction (1994),ali,Pulp Fiction (1994) {tmdb-680} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-W4NK3R.mkv,7100,,0,COPY Ali → Chris,,Only Ali has this file
Star Trek VI The Undiscovered Country (1991),ali,Star Trek VI The Undiscovered Country (1991) {tmdb-174} - {edition-Theatrical Cut} [Bluray-2160p][EAC3 7.1][DV HDR10][x265]-hallowed.mkv,6795,,0,COPY Ali → Chris,,Only Ali has this file
Bumblebee (2018),ali,Bumblebee (2018) {tmdb-424783} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-MainFrame.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
The Hobbit An Unexpected Journey (2012),ali,The Hobbit An Unexpected Journey (2012) {tmdb-49051} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,,0,COPY Ali → Chris,,Only Ali has this file
Willy Wonka and the Chocolate Factory (1971),ali,Willy Wonka and the Chocolate Factory (1971) {tmdb-252} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-MainFrame.mkv,7100,,0,COPY Ali → Chris,,Only Ali has this file
Apocalypse Now (1979),ali,Apocalypse Now (1979) {tmdb-28} - {edition-Theatrical Cut} [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Iron Man (2008),ali,Iron Man (2008) {tmdb-1726} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-MainFrame.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Spider-Man No Way Home (2021),ali,Spider-Man No Way Home (2021) {tmdb-634649} - [Bluray-2160p Proper][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Captain Marvel (2019),ali,Captain Marvel (2019) {tmdb-299537} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Captain America Brave New World (2025),ali,Captain America Brave New World (2025) {tmdb-822119} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10Plus][x265]-MainFrame.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
