Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,pacific rim mainframe mkv,Pacific Rim (2013) {imdb-tt1663662} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,17.21,0,Only Ali has this file
Ali → Chris,the matrix resurrections w4nk3r mkv,The Matrix Resurrections (2021) {imdb-tt10838180} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,47.55,0,Only Ali has this file
Ali → Chris,gladiator framestor mkv,Gladiator (2000) {imdb-tt0172495} {edition-Extended Cut} [Remux-2160p][DV HDR10][DTS-X 7.1][HEVC]-FraMeSToR.mkv,69.42,0,Only Ali has this file
Ali → Chris,captain america brave new world mainframe mkv,Captain America Brave New World (2025) {imdb-tt14513804} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,20.78,0,Only Ali has this file
Ali → Chris,black widow w4nk3r mkv,Black Widow (2021) {imdb-tt3480822} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,26.99,0,Only Ali has this file
Ali → Chris,cars 2 ctrlhd mkv,Cars 2 (2011) {imdb-tt1216475} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,21.15,0,Only Ali has this file
Ali → Chris,dunkirk w4nk3r mkv,Dunkirk (2017) {imdb-tt5013056} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-W4NK3R.mkv,19.98,0,Only Ali has this file
Ali → Chris,zombieland mainframe mkv,Zombieland (2009) {imdb-tt1156398} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,22.75,0,Only Ali has this file
Ali → Chris,v for vendetta framestor mkv,V for Vendetta (2006) {imdb-tt0434409} - [Hybrid][Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,66.01,0,Only Ali has this file
Ali → Chris,jurassic park hidt mkv,Jurassic Park (1993) {imdb-tt0107290} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-HiDt.mkv,42.48,0,Only Ali has this file
Ali → Chris,alien romulus w4nk3r mkv,Alien Romulus (2024) {imdb-tt18412256} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,29.16,0,Only Ali has this file
Ali → Chris,mission impossible rogue nation hqmux mkv,Mission Impossible Rogue Nation (2015) {imdb-tt2381249} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,24.98,0,Only Ali has this file
Ali → Chris,furiosa a mad max saga mainframe mkv,Furiosa A Mad Max Saga (2024) {imdb-tt12037194} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,40.40,0,Only Ali has this file
Ali → Chris,return of the jedi hidt mkv,Return of the Jedi (1983) {imdb-tt0086190} - [Hybrid][Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-HiDt.mkv,29.75,0,Only Ali has this file
Ali → Chris,deadpool and wolverine w4nk3r mkv,Deadpool and Wolverine (2024) {imdb-tt6263850} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,26.48,0,Only Ali has this file
Ali → Chris,star trek v the final frontier hallowed mkv,Star Trek V The Final Frontier (1989) {imdb-tt0098382} [Bluray-2160p][DV HDR10][EAC3 7.1][x265]-hallowed.mkv,14.04,0,Only Ali has this file
Ali → Chris,the fantastic 4 first steps spx mkv,The Fantastic 4 First Steps (2025) {imdb-tt10676052} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPx.mkv,22.44,0,Only Ali has this file
Ali → Chris,rocketman hone mkv,Rocketman (2019) {imdb-tt2066051} [Bluray-2160p][DV HDR10][EAC3 7.1][x265]-HONE.mkv,15.36,0,Only Ali has this file
Ali → Chris,the hunger games mockingjay part 1 mainframe mkv,The Hunger Games Mockingjay Part 1 (2014) {imdb-tt1951265} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,22.41,0,Only Ali has this file
Ali → Chris,extraction 2 hone mkv,Extraction 2 (2023) {imdb-tt12263384} [NF][WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][h265]-HONE.mkv,17.09,0,Only Ali has this file
Ali → Chris,extraction sic mkv,Extraction (2020) {imdb-tt8936646} [NF][WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][HEVC]-SiC.mkv,13.09,0,Only Ali has this file
Ali → Chris,army of the dead sic mkv,Army of the Dead (2021) {imdb-tt0993840} [NF][WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][HEVC]-SiC.mkv,16.05,0,Only Ali has this file
Ali → Chris,frankenstein kitsune mkv,Frankenstein (2025) {imdb-tt1312221} - [NF][WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10][h265]-Kitsune.mkv,21.18,0,Only Ali has this file
Ali → Chris,civil war mainframe mkv,Civil War (2024) {imdb-tt17279496} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,22.60,0,Only Ali has this file
Ali → Chris,batman begins framestor mkv,Batman Begins (2005) {imdb-tt0372784} [Hybrid][Remux-2160p][DV HDR10][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,56.49,0,Only Ali has this file
Ali → Chris,red sparrow mainframe mkv,Red Sparrow (2018) {imdb-tt2873282} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,21.07,0,Only Ali has this file
Ali → Chris,twisters sphd mkv,Twisters (2024) {imdb-tt12584954} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-SPHD.mkv,50.12,0,Only Ali has this file
Ali → Chris,guardians of the galaxy vol 2 sphd mkv,Guardians of the Galaxy Vol. 2 (2017) {imdb-tt3896198} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,35.58,0,Only Ali has this file
Ali → Chris,the godfather sphd mkv,The Godfather (1972) {imdb-tt0068646} [Bluray-2160p][DV HDR10][TrueHD 5.1][x265]-SPHD.mkv,56.76,0,Only Ali has this file
Ali → Chris,saving private ryan hqmux mkv,Saving Private Ryan (1998) {imdb-tt0120815} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,42.61,0,Only Ali has this file
Ali → Chris,forrest gump w4nk3r mkv,Forrest Gump (1994) {imdb-tt0109830} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,50.07,0,Only Ali has this file
Ali → Chris,bram stokers dracula framestor mkv,Bram Stokers Dracula (1992) {imdb-tt0103874} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,61.28,0,Only Ali has this file
Ali → Chris,the batman mainframe mkv,The Batman (2022) {imdb-tt1877830} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,35.80,0,Only Ali has this file
Ali → Chris,pacific rim uprising w4nk3r mkv,Pacific Rim Uprising (2018) {imdb-tt2557478} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,30.31,0,Only Ali has this file
Ali → Chris,avengers age of ultron framestor mkv,Avengers Age of Ultron (2015) {imdb-tt2395427} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,49.32,0,Only Ali has this file
Ali → Chris,star trek the motion picture vd0n mkv,Star Trek The Motion Picture (1979) {imdb-tt0079945} [Bluray-2160p][DV][TrueHD Atmos 7.1][x265]-VD0N.mkv,42.69,0,Only Ali has this file
Ali → Chris,star trek iv the voyage home hallowed mkv,Star Trek IV The Voyage Home (1986) {imdb-tt0092007} [Bluray-2160p Proper][DV HDR10][EAC3 7.1][x265]-hallowed.mkv,15.68,0,Only Ali has this file
Ali → Chris,logan ctrlhd mkv,Logan (2017) {imdb-tt3315342} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,19.58,0,Only Ali has this file
Ali → Chris,avengers endgame framestor mkv,Avengers Endgame (2019) {imdb-tt4154796} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,53.90,0,Only Ali has this file
Ali → Chris,star trek insurrection sphd mkv,Star Trek Insurrection (1998) {imdb-tt0120844} [Bluray-2160p][DV HDR10][TrueHD 7.1][x265]-SPHD.mkv,28.43,0,Only Ali has this file
Ali → Chris,avatar the way of water w4nk3r mkv,Avatar The Way of Water (2022) {imdb-tt1630029} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,54.67,0,Only Ali has this file
Ali → Chris,star trek iii the search for spock hallowed mkv,Star Trek III The Search for Spock (1984) {imdb-tt0088170} [Bluray-2160p Proper][DV HDR10][EAC3 7.1][x265]-hallowed.mkv,13.88,0,Only Ali has this file
Ali → Chris,blade ii flux mkv,Blade II (2002) {imdb-tt0187738} [WEBDL-2160p][DV HDR10][DTS-HD MA 7.1][h265]-FLUX.mkv,21.99,0,Only Ali has this file
Ali → Chris,rise of the planet of the apes hone mkv,Rise of the Planet of the Apes (2011) {imdb-tt1318514} [Bluray-2160p][DV HDR10][EAC3 5.1][x265]-HONE.mkv,18.08,0,Only Ali has this file
Ali → Chris,the lord of the rings the fellowship of the ring extended p 7 1 framestor mkv,The.Lord.of.the.Rings.The.Fellowship.of.the.Ring.2001.Extended.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,117.37,1,Only Ali has this file
Ali → Chris,zack snyders justice league w4nk3r mkv,Zack Snyders Justice League (2021) {imdb-tt12361974} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,52.30,0,Only Ali has this file
Ali → Chris,star trek ctrlhd mkv,Star Trek (2009) {imdb-tt0796366} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,43.37,0,Only Ali has this file
Ali → Chris,iron man 3 mainframe mkv,Iron Man 3 (2013) {imdb-tt1300854} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,18.75,0,Only Ali has this file
Ali → Chris,deadpool 2 mainframe mkv,Deadpool 2 (2018) {imdb-tt5463162} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,29.62,0,Only Ali has this file
Ali → Chris,the avengers framestor mkv,The Avengers (2012) {imdb-tt0848228} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,50.06,0,Only Ali has this file
Ali → Chris,the revenant benflix mkv,The Revenant (2015) {imdb-tt1663202} {edition-Open Matte} [Remux-2160p][DV HDR10Plus][TrueHD Atmos 7.1][h265]-Benflix.mkv,69.33,0,Only Ali has this file
Ali → Chris,spider man far from home w4nk3r mkv,Spider-Man Far From Home (2019) {imdb-tt6320628} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,18.91,0,Only Ali has this file
