title,show_folder,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps,tvdb_id,tmdb_id,imdb_id,year,season,episode,episode_title
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E01.The.Broken.Circle.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E01.The.Broken.Circle.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E01.The.Broken.Circle.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,5536313085,5.16,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,1,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E02.Ad.Astra.per.Aspera.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E02.Ad.Astra.per.Aspera.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E02.Ad.Astra.per.Aspera.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,5998791494,5.59,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,2,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E03.Tomorrow.and.Tomorrow.and.Tomorrow.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E03.Tomorrow.and.Tomorrow.and.Tomorrow.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E03.Tomorrow.and.Tomorrow.and.Tomorrow.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,6402706946,5.96,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,3,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E04.Among.the.Lotus.Eaters.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E04.Among.the.Lotus.Eaters.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E04.Among.the.Lotus.Eaters.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,6152085792,5.73,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,4,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E05.Charades.REPACK.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E05.Charades.REPACK.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E05.Charades.REPACK.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,6404362087,5.96,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,5,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E06.Lost.in.Translation.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E06.Lost.in.Translation.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E06.Lost.in.Translation.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,5720948827,5.33,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,6,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E07.Those.Old.Scientists.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E07.Those.Old.Scientists.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E07.Those.Old.Scientists.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,5079963821,4.73,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,7,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E08.Under.the.Cloak.of.War.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E08.Under.the.Cloak.of.War.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E08.Under.the.Cloak.of.War.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,5217016828,4.86,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,8,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E09.Subspace.Rhapsody.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E09.Subspace.Rhapsody.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E09.Subspace.Rhapsody.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,6641492029,6.19,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,9,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,Star.Trek.Strange.New.Worlds.S02E10.Hegemony.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,/mnt/media/4K TV Shows/Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E10.Hegemony.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,Star Trek Strange New Worlds/Season 02/Star.Trek.Strange.New.Worlds.S02E10.Hegemony.2160p.PMTP.WEB-DL.DDP5.1.DV.HDR.H.265-FLUX.mkv,5639253656,5.25,2160p,,,H.265,DD,DV,WEB-DL,,,,,,,,2,10,
